	var	amp	idoc	iphrase	biggestStep	avgStep
" GUM_academic_exposure-3
_1"	0.002289185826292235	-0.00030507892370224	0.008923739194869995	0.01383250697681393	0.0341816321015358	0.010058031184598804
" GUM_academic_exposure-12
_1"	-0.0005775002786860134	8.920952677726746e-05	-0.04953444004058838	-0.050453114522887144	-0.0016298480331897736	0.0024911271095150733
" GUM_academic_exposure-20
_1"	0.00608133668320604	0.00013248436152935028	0.002589285373687744	0.013269154341645328	0.014826221391558647	0.01872704775841344
" GUM_academic_librarians-8
_1"	-0.0031795337337419197	0.004349716007709503	0.0010441094636917114	0.00310135809316614	-0.02265838533639908	-0.006801824941391893
" GUM_academic_librarians-19
_1"	0.005189532168300322	0.018740214407444	0.006601735949516296	0.0021328086476950503	0.014598339796066284	0.0011256465002110194
" GUM_academic_librarians-21
_1"	-0.0008781272002428425	0.00026766397058963776	0.009731322526931763	-0.004046875357843316	0.019569972530007362	-0.002758377260554924
" GUM_bio_byron-9
_1"	0.003088714020058461	0.0010205656290054321	-0.05792880058288574	0.03262339920974244	-0.01088838279247284	0.00205965840694855
" GUM_conversation_grounded-10
_1"	0.0016660985877981066	-0.0011900067329406738	-0.020949825644493103	-0.02955988540568133	-0.06241461634635925	0.008432533456520605
" GUM_conversation_grounded-16
_1"	0.007057834531222454	0.0005326829850673676	0.008036434650421143	0.01680078812959518	0.01170092448592186	0.012123074610200194
" GUM_conversation_grounded-18
_1"	0.0014939955733906315	-0.0004643276333808899	-0.027654588222503662	-0.031123352164609597	0.05483614653348923	0.00907434367989543
" GUM_conversation_grounded-25
_1"	0.003083831961793196	-0.005610816180706024	-0.004575014114379883	-0.046451872451738874	-0.016000084578990936	-0.07288810337583224
" GUM_conversation_grounded-76
_1"	0.0022808107160932276	-0.0007126126438379288	0.003990471363067627	0.011587088447371996	2.0584091544151306e-05	0.011759905064335247
" GUM_conversation_grounded-107
_1"	0.01286333938163943	-0.0006627850234508514	0.019017904996871948	-0.016489900825988668	0.038479048758745193	-0.09418827034533023
" GUM_conversation_grounded-134
_1"	0.007021343380634121	0.0011545363813638687	0.15108617395162582	0.13803078031078686	-0.24546916782855988	-0.03282167549644198
" GUM_conversation_risk-109
_1"	0.0017807455396453564	0.002056097611784935	-0.02752751111984253	-0.0052747780922800525	-0.052968705072999	0.0016680462690799105
" GUM_fiction_beast-3
_3"	0.0005498912169581288	0.0005576126277446747	0.00014668703079223633	8.988174823965078e-05	0.0007909536361694336	0.002500997662410992
" GUM_fiction_beast-5
_1"	0.005053626630137087	-0.0007979031652212143	0.02392861247062683	0.030299551307390926	0.06811631470918655	0.012477929554879669
" GUM_fiction_beast-57
_1"	0.0023713616898987516	-0.0005336105823516846	0.0015497803688049316	-0.0021521870697900347	0.0036209821701049805	0.004340818595633983
" GUM_fiction_lunre-9
_1"	0.0022913386438361757	0.0009023528546094894	0.1374901682138443	0.1487814942055622	-0.09367033839225769	-0.046699063491917436
" GUM_fiction_lunre-9
_2"	0.0038952478270642132	-0.00024250708520412445	0.011174015700817108	0.006772458172147888	0.03662310540676117	0.0028920594843164504
" GUM_fiction_lunre-13
_1"	-0.0007184435386536209	3.774464130401611e-05	-0.05046168714761734	-0.051655231907408505	0.0123710036277771	0.0038947918113239888
" GUM_fiction_lunre-15
_1"	-0.0020096505394166797	0.0008143726736307144	-0.007164061069488525	-0.008649424373807446	-0.013607984408736229	-0.005089862699774239
" GUM_fiction_lunre-20
_1"	0.0008243634860152435	0.0013689864426851273	0.06400787830352783	0.009110951157552893	0.13225589878857136	0.0003443400187952417
" GUM_fiction_lunre-24
_1"	-0.00015369228155905773	-0.002435509115457535	0.0012995004653930664	-0.0021858966963393955	0.00021499022841453552	-0.018297413749564673
" GUM_fiction_lunre-24
_2"	0.000335275563040055	-0.00035348720848560333	0.0014441311359405518	0.004527230829995843	0.002230195328593254	-0.00267937097428194
" GUM_fiction_lunre-26
_1"	-0.013151357685809897	0.0002347119152545929	-0.061551529784775294	-0.20766775662961756	0.12737972289323807	0.0044402143997109705
" GUM_interview_cyclone-41
_1"	-0.005574070605795178	0.002470100298523903	0.08251917362213135	0.07012259182931091	-0.217904569581151	-0.0047888169530779096
" GUM_news_homeopathic-13
_1"	0.004187051466635193	-0.0010258294641971588	-0.0025237277150154114	-0.010862915659952344	-0.0018531233072280884	0.016733673810080854
