matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,uid_idoc,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-7.610534945960329,0,0,0,1,1,2,-11.78748303671764,0,-0.141668239608407,1,-3,0,1,0
0,-8.041908238927158,0,0,0,0,0,12,-6.801595912310578,0,0.0219162758740633,1,-3,0,1,0
0,-8.041908238927158,1,0,0,0,1,2,-6.255411939743378,0,0.0010112822055816,0,-4,0,0,0
0,-8.688893377723941,1,0,0,1,1,22,-8.232134975228226,0,-0.049711987376213,0,-4,0,0,0
0,-8.041908238927158,1,0,0,0,1,9,-6.433258038231307,0,-0.0269656870514154,0,-5,0,0,1
0,-8.588809919166959,1,0,1,1,1,4,-9.571909320713225,0,-0.048794962465763,0,-1,0,0,0
0,-6.195253047967186,1,0,0,1,1,8,-10.806653783705913,0,0.2172229196876287,0,-29,0,0,0
0,-7.747360028662178,1,0,0,1,0,10,-11.382017928609475,0,0.0606986824423074,0,-3,0,0,0
0,-7.146302413206516,1,0,0,1,0,2,-11.78748303671764,0,0.034140965000078,0,-24,0,0,0
0,-6.324357695868357,1,0,0,1,0,17,-13.579242505945695,0,-0.0637894868850708,0,-3,0,0,0
0,-8.041908238927158,1,0,1,1,0,6,-5.810286461407363,0,-0.0787434577941894,0,-1,0,6,0
0,-8.767058150573277,1,0,0,1,0,5,-12.192948144825804,0,0.1986481678041666,0,-14,0,0,0
0,-9.07943283561543,1,0,0,1,1,1,-8.246523712680325,0,0.079236259714052,0,-5,0,0,0
0,-8.767058150573277,0,0,0,1,1,13,-8.467254717589151,1,0.0274791829288005,0,-3,0,1,0
0,-10.023894444456282,1,0,0,1,1,25,-6.801595912310578,0,-0.1366467773914337,0,-3,0,11,0
0,-7.437205100358338,1,0,1,0,1,15,-6.801595912310578,0,0.1520827617797105,0,-1,0,1,1
0,-8.791750763163648,1,0,0,1,1,32,-8.41445653202218,0,-0.0468840394169092,0,-3,0,10,0
0,-7.762131345982491,0,0,1,1,1,2,-5.3795035453149085,0,-0.1025998983231336,1,-1,0,1,0
0,-6.794785443308052,0,0,1,1,0,4,-8.659261580117569,0,-0.1141357421875,0,-1,0,1,0
0,-6.794785443308052,0,0,1,0,1,1,-8.659261580117569,0,0.1149742007255554,0,-1,0,1,1
0,-6.256071788002225,0,0,1,0,1,28,-10.583510232391705,0,-0.02299015969038,0,-1,0,1,0
0,-7.146302413206516,1,0,0,1,1,16,-5.975344537423814,0,1.4901161193847656e-07,0,-4,0,0,0
0,-6.256071788002225,0,0,1,0,1,1,-5.810286461407363,0,0.0167785827070474,1,-1,0,1,0
0,-6.195253047967186,0,0,1,0,1,1,-9.468368641772383,0,0.1419542897492647,1,-1,0,1,1
0,-6.794785443308052,0,0,1,0,1,7,-6.433258038231307,1,0.1187710966914892,0,-1,0,1,0
0,-8.696440583359324,1,0,0,1,0,48,-5.3795035453149085,0,1.1175870895385745e-07,0,-3,0,5,0
0,-6.256071788002225,0,0,1,0,1,20,-12.480630217277586,1,-0.1124291718006134,0,-1,0,1,0
0,-8.10697183227422,1,0,1,0,1,20,-10.806653783705913,0,-0.1164369769394397,0,-1,0,2,1
0,-6.794785443308052,1,0,1,0,0,3,-7.623405136480864,0,0.1533618383109569,0,-1,0,2,0
0,-8.473297032045114,1,0,0,1,1,3,-7.762131345982491,0,-0.0115703903138637,0,-3,1,2,0
0,-6.549269594239308,1,0,0,0,1,4,-10.360366681077494,0,-0.0080988900735974,0,-7,0,0,0
0,-8.10697183227422,1,0,1,0,1,9,-11.014293148484159,0,-0.0268678702414035,0,-1,0,2,0
0,-6.794785443308052,0,0,1,0,0,1,-9.222533679256102,0,0.0522659197449684,0,-1,0,1,0
0,-8.10697183227422,0,0,0,0,0,1,-12.192948144825804,0,0.1074824854731559,1,-3,0,1,0
0,-7.146302413206516,1,0,0,1,1,3,-8.115410700920085,0,0.0296829250010698,0,-6,0,3,0
0,-6.195253047967186,1,0,0,1,0,12,-9.89036305183176,0,0.0391698312315195,0,-3,0,0,0
0,-9.841572887662327,1,0,0,1,0,19,-11.78748303671764,0,0.1104482468518465,0,-8,0,0,0
0,-6.195253047967186,1,0,1,1,0,2,-9.59025845938142,0,0.0012642052024602,0,-1,0,2,0
0,-6.195253047967186,1,0,1,1,0,25,-11.094335856157695,0,0.0071626398411542,0,1,0,0,0
0,-10.534720068222272,1,0,0,1,1,26,-10.583510232391705,0,-0.0166274942457675,0,-3,0,0,0
0,-6.195253047967186,1,0,1,1,1,2,-8.467254717589151,0,0.2155163399875164,0,-1,0,5,0
0,-9.38958776391927,1,0,0,1,0,2,-6.573453486692192,0,-0.0094481892582923,0,-3,0,5,0
0,-8.348133889091107,1,0,0,1,1,7,-10.583510232391705,0,-0.0055031739175319,0,-5,0,0,0
0,-8.791750763163648,1,0,0,1,1,13,-6.203360357730682,0,-0.0149470418691635,0,-6,0,0,0
0,-9.275177412741526,1,0,0,1,0,22,-11.78748303671764,0,-0.0247947126626968,0,-9,0,0,0
0,-9.729094904235636,0,0,0,1,0,6,-7.17566830801088,1,-0.0386984199285507,0,-3,0,1,0
0,-9.627998787364268,1,0,0,1,0,20,-9.374549886554728,0,0.2850634902715683,0,-4,0,0,0
0,-9.94165634621931,1,0,0,1,1,12,-9.316562628904379,0,0.0449036043438165,0,-10,0,0,0
0,-6.256071788002225,1,0,0,1,1,12,-12.192948144825804,0,0.0516919121146202,0,-5,0,0,0
0,-6.549269594239308,1,0,0,1,0,19,-9.420359422586023,0,-0.0115708746016025,0,-3,0,2,0
0,-8.944513517716059,1,0,0,1,0,6,-11.276657412951648,0,-0.1007486302104742,0,-9,0,0,0
0,-6.256071788002225,0,0,1,1,0,9,-6.255411939743378,0,-0.0639661476016044,1,-1,0,1,0
0,-6.324357695868357,1,0,0,1,0,11,-9.38958776391927,0,-0.0947712510824203,0,-4,0,0,0
0,-6.794785443308052,1,0,0,1,1,6,-10.871192304843484,0,-0.0282632112503051,0,-11,0,0,0
0,-8.041908238927158,1,0,0,1,0,9,-7.786228897561551,0,-0.0471550412476062,0,-4,0,0,0
0,-7.623405136480864,1,0,1,1,0,5,-7.508504777943205,0,0.0219223797321319,0,-1,0,0,0
0,-7.623405136480864,1,0,1,1,0,2,-12.480630217277586,0,-0.0553758963942527,0,-1,0,0,0
0,-6.794785443308052,1,0,0,1,1,30,-5.810286461407363,0,-0.0049431025981903,0,-4,0,0,0
0,-6.195253047967186,1,0,1,1,0,5,-8.65198882078849,0,0.1185854263603687,0,-1,0,2,0
0,-8.041908238927158,1,0,0,1,0,16,-8.87876214015328,0,0.1467606946825981,0,-3,0,1,0
0,-8.65198882078849,1,0,0,1,0,8,-11.78748303671764,0,-0.0085815414786338,0,-14,0,0,0
0,-9.275177412741526,1,0,0,1,1,8,-6.2064961395413665,0,-0.1494379490613937,0,-6,0,0,0
0,-7.623405136480864,1,0,0,0,1,14,-10.534720068222272,0,0.0240719504654407,0,-3,0,8,1
0,-6.794785443308052,1,0,0,0,1,1,-6.2064961395413665,0,-0.0028468444943428,0,-4,0,0,0
0,-6.195253047967186,1,0,0,1,0,13,-9.647416873221369,0,-0.0151374414563179,0,-5,0,0,0
0,-8.473297032045114,1,0,1,0,1,40,-6.518766139945893,0,0.1175977438688278,0,2,0,0,0
0,-6.256071788002225,1,0,1,1,1,3,-6.518766139945893,0,0.0470936950597017,0,2,0,0,0
0,-6.195253047967186,1,0,0,1,0,2,-12.480630217277586,0,0.0579755334183573,0,-3,0,6,0
0,-7.623405136480864,0,0,1,0,1,18,-5.3795035453149085,1,-0.3206802028861791,0,-1,0,1,1
0,-9.004531527442312,1,0,0,1,0,26,-9.004531527442312,0,0.1426567137542217,0,-3,0,5,0
0,-6.748368271299515,1,0,1,1,1,24,-6.433258038231307,0,-0.1114457380026578,0,-1,0,4,0
0,-8.285937681221203,0,0,1,0,0,4,-5.975344537423814,0,-0.080977912992239,0,-1,0,1,0
0,-6.794785443308052,0,0,1,0,0,2,-7.146302413206516,0,-0.0586375817656517,1,-1,0,1,0
0,-6.794785443308052,0,0,1,1,0,3,-6.926379476592348,1,0.2047174573245495,0,-1,0,1,0
0,-6.794785443308052,1,0,1,0,0,3,-8.984122655811104,0,-0.102511741220951,0,-1,1,0,0
0,-9.7506011094566,0,0,0,1,0,9,-8.588809919166959,0,0.0414111465215683,1,-3,0,1,0
0,-6.195253047967186,0,0,1,0,0,1,-8.27593759788662,0,0.2155562750995159,0,-1,0,1,1
0,-6.195253047967186,1,0,1,0,1,2,-11.499800964265859,0,0.0883311629295349,0,-1,0,0,0
0,-6.195253047967186,0,0,1,0,0,2,-6.203360357730682,0,0.0585604049265384,0,-1,0,1,1
0,-6.195253047967186,1,0,1,0,1,33,-5.810286461407363,0,0.0487697273492813,0,-1,0,2,0
0,-6.195253047967186,1,0,1,0,0,2,-12.192948144825804,0,0.1206030175089836,0,-1,0,0,0
0,-8.473297032045114,0,0,1,0,0,1,-5.975344537423814,1,-0.0699434392154216,0,-1,0,1,0
0,-6.794785443308052,1,0,1,0,0,1,-9.94165634621931,0,-0.0003797300159931,0,-1,0,0,0
0,-6.794785443308052,0,0,1,0,0,5,-6.748368271299515,0,0.0803485289216041,1,-1,0,1,0
0,-9.275177412741526,0,0,1,1,1,4,-9.275177412741526,0,-0.1217275597155094,1,-1,0,1,0
0,-8.10697183227422,0,0,1,1,1,6,-11.014293148484159,0,-0.0286810733377933,1,-1,0,1,0
0,-6.549269594239308,1,0,0,0,1,15,-12.480630217277586,0,-0.1435480751097202,0,-5,0,0,1
0,-8.944513517716059,1,0,0,0,1,1,-12.480630217277586,0,-0.0268295370042324,0,-12,0,0,0
0,-6.256071788002225,0,0,1,0,1,7,-6.60476359492065,0,-0.0703144464340955,0,-1,0,1,0
0,-8.041908238927158,1,0,1,0,0,4,-5.810286461407363,0,-0.0726850517094135,0,-1,0,5,0
0,-8.251366337156114,1,0,1,0,0,1,-5.3795035453149085,0,0.0043893326073884,0,-1,0,3,0
0,-8.246523712680325,1,0,1,1,0,11,-8.090304779789008,0,-0.2112709879875183,0,-1,0,0,0
0,-9.07943283561543,0,0,1,1,1,6,-11.276657412951648,0,-0.0313398316502571,1,-1,0,1,0
0,-8.10697183227422,0,0,1,1,1,5,-8.232134975228226,0,-0.1568918339908123,0,-1,0,1,0
0,-6.256071788002225,1,0,0,1,1,8,-12.88609532538575,0,0.0671613756266386,0,-4,0,0,0
0,-6.256071788002225,0,0,0,1,1,14,-8.251366337156114,0,0.2222826648202688,0,-3,0,1,0
0,-6.256071788002225,0,0,0,1,1,27,-8.280925139397658,0,0.0249174404588491,0,-3,0,1,0
0,-7.623405136480864,1,0,0,1,0,28,-9.288783064797304,0,-0.0738590453120916,0,-5,0,0,0
0,-6.195253047967186,0,0,1,1,1,5,-8.595635884237359,0,0.0531650260090827,1,-1,0,1,0
0,-6.195253047967186,1,0,1,1,0,9,-9.113334387291111,0,-0.0602554287761449,0,-1,0,4,0
0,-6.195253047967186,1,0,0,1,0,1,-10.68887074804953,0,0.0893199294805526,0,-8,0,0,0
0,-9.627998787364268,1,0,0,1,0,4,-8.588809919166959,0,0.081709569350168,0,-14,0,0,0
0,-9.004531527442312,1,0,0,1,0,2,-11.499800964265859,0,-0.0516340732574462,0,-4,0,0,0
0,-9.968324593301471,1,0,0,1,1,2,-10.746029161889478,0,0.005491005256772,0,-20,0,0,0
0,-9.841572887662327,1,0,0,1,0,6,-5.810286461407363,0,-0.0497340746223926,0,-3,0,1,0
0,-8.65198882078849,1,0,0,1,1,9,-10.40118867559775,0,0.0244974326643198,0,-3,0,0,0
0,-9.729094904235636,0,0,0,0,0,1,-5.3795035453149085,0,0.109858650714159,1,-3,0,1,1
0,-6.256071788002225,1,0,1,0,0,1,-7.344831780227323,0,0.0325772799551487,0,-1,0,3,1
0,-9.772580016175375,1,0,0,1,0,9,-10.534720068222272,0,0.0142807178199291,0,-5,0,0,0
0,-11.014293148484159,1,0,0,1,0,6,-12.88609532538575,0,-0.1988669857382774,0,-3,0,0,0
0,-8.041908238927158,1,0,1,1,1,4,-9.113334387291111,0,0.0319021325859277,0,-1,0,3,0
0,-8.27593759788662,1,0,0,0,1,1,-5.3795035453149085,0,0.0218972414731979,0,-3,0,2,0
0,-6.2064961395413665,1,0,1,0,1,1,-9.667219500517549,0,-0.0683518983423709,0,-1,0,0,1
0,-6.256071788002225,0,0,1,1,0,2,-5.3795035453149085,0,0.0699495822191238,0,-1,0,1,0
0,-6.195253047967186,1,0,1,1,0,17,-11.382017928609475,0,0.0945759788155555,0,-1,0,0,0
0,-6.195253047967186,1,0,1,1,0,15,-11.382017928609475,0,0.1252624448689668,0,-1,0,0,0
0,-6.195253047967186,0,0,1,0,0,1,-8.431748029132242,0,0.0526299960911273,1,-1,0,1,1
0,-6.195253047967186,1,0,1,1,0,19,-11.382017928609475,0,-0.0833317208734304,0,-1,0,0,0
0,-6.195253047967186,1,0,1,0,1,11,-5.810286461407363,0,0.0398917347192764,0,-1,0,7,1
0,-6.195253047967186,1,0,0,1,1,13,-6.549269594239308,0,0.0190850496292114,0,-4,0,0,0
0,-8.767058150573277,1,0,1,1,0,4,-10.360366681077494,0,0.0363355502486228,0,5,1,0,0
0,-8.86971230463336,0,0,0,1,0,33,-5.3795035453149085,0,-0.0580690577626228,1,-3,0,1,0
0,-8.791750763163648,1,0,0,1,1,1,-12.192948144825804,0,0.0400248374789953,0,-3,0,0,0
0,-9.841572887662327,1,0,0,1,1,1,-6.433258038231307,0,0.1158537473529577,0,-3,0,5,0
0,-6.324357695868357,1,0,0,1,1,5,-8.467254717589151,0,0.1563111683353781,0,-10,0,0,0
0,-9.772580016175375,1,0,0,1,1,6,-8.984122655811104,0,-0.0309309065341949,0,-3,0,2,0
0,-8.041908238927158,1,0,0,1,0,10,-6.433258038231307,0,0.0574075058102607,0,-4,0,0,0
0,-8.954269692661423,1,0,0,1,1,9,-6.748368271299515,0,-0.012263604439795,0,-3,0,5,0
0,-9.07943283561543,1,0,0,1,1,10,-7.437205100358338,0,-0.0872063059359788,0,-23,0,0,0
0,-8.86971230463336,1,0,0,1,1,36,-6.433258038231307,0,0.0479798465967178,0,-4,0,0,0
0,-6.794785443308052,1,0,0,1,0,30,-8.232134975228226,0,0.0351163297891616,0,-3,0,2,0
0,-9.07943283561543,1,0,0,1,1,17,-8.87876214015328,0,0.052874818444252,0,-4,0,0,0
0,-8.767058150573277,1,0,0,1,1,15,-5.3795035453149085,0,0.1295052599462717,0,-3,0,2,0
0,-5.3795035453149085,1,0,1,1,1,29,-12.88609532538575,0,0.045719776302576,0,-1,0,4,0
0,-10.023894444456282,1,0,0,0,1,4,-8.3752358188689,0,-0.0334208253771066,0,-3,0,7,1
0,-8.767058150573277,1,0,0,1,0,14,-9.865670439241386,0,-0.0047600734978914,0,-40,0,0,0
0,-6.324357695868357,1,0,0,0,0,8,-8.87876214015328,0,0.1569081088528037,0,-21,0,0,1
0,-6.324357695868357,1,0,0,0,0,8,-8.227384372469627,0,-0.0447382107377052,0,-3,0,2,1
0,-6.855410065124486,1,0,0,0,0,35,-12.480630217277586,0,-0.0096056200563907,0,-5,0,0,1
0,-6.324357695868357,1,0,0,0,1,1,-12.88609532538575,0,0.1496195043437183,0,-6,0,0,1
0,-9.374549886554728,1,0,0,0,1,1,-11.014293148484159,0,-0.0383520796895027,0,-3,0,2,1
0,-8.954269692661423,1,0,0,0,1,26,-12.480630217277586,0,0.0607660561800003,0,-5,0,0,1
0,-10.871192304843484,1,0,0,1,1,28,-5.810286461407363,0,0.1529411542859823,0,-3,0,2,0
0,-6.324357695868357,1,0,0,1,0,2,-9.288783064797304,0,0.047635024383381,0,-2,0,0,0
0,-6.855410065124486,1,0,0,0,0,7,-8.467254717589151,0,0.1237493753433227,0,-3,0,7,1
0,-8.609429206369693,1,0,0,0,1,1,-10.634803526779255,0,0.0822520889642685,0,-16,0,0,1
0,-6.855410065124486,1,0,0,1,0,11,-9.468368641772383,0,0.0108944624662399,0,-3,0,1,0
0,-8.041908238927158,1,0,0,1,1,13,-8.727212242026077,0,-0.0511126480996608,0,-6,0,0,0
0,-6.195253047967186,1,0,0,0,0,5,-6.195253047967186,0,-0.088754054158926,0,-8,0,0,1
0,-9.865670439241386,1,0,0,1,1,17,-7.744431768883089,0,0.0150634162127971,0,-3,0,3,0
0,-7.829849520037441,1,0,0,1,0,21,-11.969804593511594,0,-0.0587768256664276,0,-4,0,0,0
0,-8.673967727507264,1,0,0,1,1,6,-10.360366681077494,0,0.0580979110673069,0,-6,0,0,0
0,-6.748368271299515,1,0,0,1,1,19,-11.78748303671764,0,0.0464768502861261,0,-11,0,0,0
0,-7.623405136480864,1,0,0,0,0,19,-12.88609532538575,0,0.0212072283029556,0,-4,0,0,1
0,-6.324357695868357,1,0,0,1,1,2,-8.727212242026077,0,0.0984266503083556,0,-11,0,0,0
0,-10.023894444456282,1,0,0,0,1,3,-10.806653783705913,0,0.1740797534885853,0,-3,0,0,1
0,-6.324357695868357,1,0,0,1,1,2,-9.302576386929639,0,0.0702520832419395,0,-4,0,0,0
0,-8.767058150573277,1,0,0,1,1,7,-8.758960940340657,0,0.063210187509939,0,-3,0,2,0
