matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,uid_igauche2_2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-7.610534945960329,0,0,0,1,1,2,-11.78748303671764,0,-0.1230917330831289,1,-3,0,1,0
0,-8.041908238927158,0,0,0,0,0,12,-6.801595912310578,0,0.0224796757102012,1,-3,0,1,0
0,-8.041908238927158,1,0,0,0,1,2,-6.255411939743378,0,0.0010112822055816,0,-4,0,0,0
0,-8.688893377723941,1,0,0,1,1,22,-8.232134975228226,0,-0.0296540856361389,0,-4,0,0,0
0,-8.041908238927158,1,0,0,0,1,9,-6.433258038231307,0,-0.0269656870514154,0,-5,0,0,1
0,-8.588809919166959,1,0,1,1,1,4,-9.571909320713225,0,0.048794962465763,0,-1,0,0,0
0,-6.195253047967186,1,0,0,1,1,8,-10.806653783705913,0,0.2172229196876287,0,-29,0,0,0
0,-7.747360028662178,1,0,0,1,0,10,-11.382017928609475,0,0.0606986824423074,0,-3,0,0,0
0,-7.146302413206516,1,0,0,1,0,2,-11.78748303671764,0,0.0383999422192573,0,-24,0,0,0
0,-6.324357695868357,1,0,0,1,0,17,-13.579242505945695,0,0.0208455473184585,0,-3,0,0,0
0,-8.041908238927158,1,0,1,1,0,6,-5.810286461407363,0,-0.0787434577941894,0,-1,0,6,0
0,-8.767058150573277,1,0,0,1,0,5,-12.192948144825804,0,0.2784547507762909,0,-14,0,0,0
0,-9.07943283561543,1,0,0,1,1,1,-8.246523712680325,0,-0.1992381066083908,0,-5,0,0,0
0,-8.767058150573277,0,0,0,1,1,13,-8.467254717589151,1,0.0274791829288005,0,-3,0,1,0
0,-10.023894444456282,1,0,0,1,1,25,-6.801595912310578,0,-0.1366467773914337,0,-3,0,11,0
0,-7.437205100358338,1,0,1,0,1,15,-6.801595912310578,0,0.0585238859057426,0,-1,0,1,1
0,-8.791750763163648,1,0,0,1,1,32,-8.41445653202218,0,-0.0468840394169092,0,-3,0,10,0
0,-7.762131345982491,0,0,1,1,1,2,-5.3795035453149085,0,-0.1665896996855735,1,-1,0,1,0
0,-6.794785443308052,0,0,1,1,0,4,-8.659261580117569,0,0.1141357421875,0,-1,0,1,0
0,-6.794785443308052,0,0,1,0,1,1,-8.659261580117569,0,-0.1149742007255554,0,-1,0,1,1
0,-6.256071788002225,0,0,1,0,1,28,-10.583510232391705,0,-0.02299015969038,0,-1,0,1,0
0,-7.146302413206516,1,0,0,1,1,16,-5.975344537423814,0,1.4901161193847656e-07,0,-4,0,0,0
0,-6.256071788002225,0,0,1,0,1,1,-5.810286461407363,0,-0.0167785827070474,1,-1,0,1,0
0,-6.195253047967186,0,0,1,0,1,1,-9.468368641772383,0,-0.0725387539714574,1,-1,0,1,1
0,-6.794785443308052,0,0,1,0,1,7,-6.433258038231307,1,0.0652305949479341,0,-1,0,1,0
0,-8.696440583359324,1,0,0,1,0,48,-5.3795035453149085,0,-1.1175870895385745e-07,0,-3,0,5,0
0,-6.256071788002225,0,0,1,0,1,20,-12.480630217277586,1,-0.1124291718006134,0,-1,0,1,0
0,-8.10697183227422,1,0,1,0,1,20,-10.806653783705913,0,0.0150516889989376,0,-1,0,2,1
0,-6.794785443308052,1,0,1,0,0,3,-7.623405136480864,0,0.1533618383109569,0,-1,0,2,0
0,-8.473297032045114,1,0,0,1,1,3,-7.762131345982491,0,-0.0115703903138637,0,-3,1,2,0
0,-6.549269594239308,1,0,0,0,1,4,-10.360366681077494,0,-0.0080988900735974,0,-7,0,0,0
0,-8.10697183227422,1,0,1,0,1,9,-11.014293148484159,0,-0.0268678702414035,0,-1,0,2,0
0,-6.794785443308052,0,0,1,0,0,1,-9.222533679256102,0,-0.0522659197449684,0,-1,0,1,0
0,-8.10697183227422,0,0,0,0,0,1,-12.192948144825804,0,-0.1074824854731559,1,-3,0,1,0
0,-7.146302413206516,1,0,0,1,1,3,-8.115410700920085,0,0.0921091958880424,0,-6,0,3,0
0,-6.195253047967186,1,0,0,1,0,12,-9.89036305183176,0,-0.1868685930967331,0,-3,0,0,0
0,-9.841572887662327,1,0,0,1,0,19,-11.78748303671764,0,0.1620879396796226,0,-8,0,0,0
0,-6.195253047967186,1,0,1,1,0,2,-9.59025845938142,0,0.0012642052024602,0,-1,0,2,0
0,-6.195253047967186,1,0,1,1,0,25,-11.094335856157695,0,0.0455877110362052,0,1,0,0,0
0,-10.534720068222272,1,0,0,1,1,26,-10.583510232391705,0,-0.0166274942457675,0,-3,0,0,0
0,-6.195253047967186,1,0,1,1,1,2,-8.467254717589151,0,0.021061111241579,0,-1,0,5,0
0,-9.38958776391927,1,0,0,1,0,2,-6.573453486692192,0,0.0906441491097211,0,-3,0,5,0
0,-8.348133889091107,1,0,0,1,1,7,-10.583510232391705,0,-0.0055031739175319,0,-5,0,0,0
0,-8.791750763163648,1,0,0,1,1,13,-6.203360357730682,0,0.0149470418691635,0,-6,0,0,0
0,-9.275177412741526,1,0,0,1,0,22,-11.78748303671764,0,-0.0189372897148132,0,-9,0,0,0
0,-9.729094904235636,0,0,0,1,0,6,-7.17566830801088,1,-0.0386984199285507,0,-3,0,1,0
0,-9.627998787364268,1,0,0,1,0,20,-9.374549886554728,0,0.2850634902715683,0,-4,0,0,0
0,-9.94165634621931,1,0,0,1,1,12,-9.316562628904379,0,0.1163372844457626,0,-10,0,0,0
0,-6.256071788002225,1,0,0,1,1,12,-12.192948144825804,0,0.0516919121146202,0,-5,0,0,0
0,-6.549269594239308,1,0,0,1,0,19,-9.420359422586023,0,-0.0115708746016025,0,-3,0,2,0
0,-8.944513517716059,1,0,0,1,0,6,-11.276657412951648,0,-0.2042331844568252,0,-9,0,0,0
0,-6.256071788002225,0,0,1,1,0,9,-6.255411939743378,0,-0.0639661476016044,1,-1,0,1,0
0,-6.324357695868357,1,0,0,1,0,11,-9.38958776391927,0,-0.0947712510824203,0,-4,0,0,0
0,-6.794785443308052,1,0,0,1,1,6,-10.871192304843484,0,-0.0282632112503051,0,-11,0,0,0
0,-8.041908238927158,1,0,0,1,0,9,-7.786228897561551,0,-0.0471550412476062,0,-4,0,0,0
0,-7.623405136480864,1,0,1,1,0,5,-7.508504777943205,0,-0.0219223797321319,0,-1,0,0,0
0,-7.623405136480864,1,0,1,1,0,2,-12.480630217277586,0,-0.0553758963942527,0,-1,0,0,0
0,-6.794785443308052,1,0,0,1,1,30,-5.810286461407363,0,-0.0049431025981903,0,-4,0,0,0
0,-6.195253047967186,1,0,1,1,0,5,-8.65198882078849,0,0.1185854263603687,0,-1,0,2,0
0,-8.041908238927158,1,0,0,1,0,16,-8.87876214015328,0,-0.1467606946825981,0,-3,0,1,0
0,-8.65198882078849,1,0,0,1,0,8,-11.78748303671764,0,-0.0085815414786338,0,-14,0,0,0
0,-9.275177412741526,1,0,0,1,1,8,-6.2064961395413665,0,-0.1494379490613937,0,-6,0,0,0
0,-7.623405136480864,1,0,0,0,1,14,-10.534720068222272,0,-0.0240719504654407,0,-3,0,8,1
0,-6.794785443308052,1,0,0,0,1,1,-6.2064961395413665,0,0.0028468444943428,0,-4,0,0,0
0,-6.195253047967186,1,0,0,1,0,13,-9.647416873221369,0,0.0151374414563179,0,-5,0,0,0
0,-8.473297032045114,1,0,1,0,1,40,-6.518766139945893,0,-0.1175977438688278,0,2,0,0,0
0,-6.256071788002225,1,0,1,1,1,3,-6.518766139945893,0,-0.1022621318697929,0,2,0,0,0
0,-6.195253047967186,1,0,0,1,0,2,-12.480630217277586,0,0.0579755334183573,0,-3,0,6,0
0,-7.623405136480864,0,0,1,0,1,18,-5.3795035453149085,1,-0.359136164188385,0,-1,0,1,1
0,-9.004531527442312,1,0,0,1,0,26,-9.004531527442312,0,0.3053162600845098,0,-3,0,5,0
0,-6.748368271299515,1,0,1,1,1,24,-6.433258038231307,0,-0.1114457380026578,0,-1,0,4,0
0,-8.285937681221203,0,0,1,0,0,4,-5.975344537423814,0,0.0309214107692241,0,-1,0,1,0
0,-6.794785443308052,0,0,1,0,0,2,-7.146302413206516,0,0.0586375817656517,1,-1,0,1,0
0,-6.794785443308052,0,0,1,1,0,3,-6.926379476592348,1,-0.1309939492493868,0,-1,0,1,0
0,-6.794785443308052,1,0,1,0,0,3,-8.984122655811104,0,0.0329406186938285,0,-1,1,0,0
0,-9.7506011094566,0,0,0,1,0,9,-8.588809919166959,0,-0.026803120970726,1,-3,0,1,0
0,-6.195253047967186,0,0,1,0,0,1,-8.27593759788662,0,-0.1673159301280975,0,-1,0,1,1
0,-6.195253047967186,1,0,1,0,1,2,-11.499800964265859,0,0.0883311629295349,0,-1,0,0,0
0,-6.195253047967186,0,0,1,0,0,2,-6.203360357730682,0,0.0251365341246128,0,-1,0,1,1
0,-6.195253047967186,1,0,1,0,1,33,-5.810286461407363,0,-0.0487697273492813,0,-1,0,2,0
0,-6.195253047967186,1,0,1,0,0,2,-12.192948144825804,0,0.0624474808573722,0,-1,0,0,0
