matrix_subject1v2,matrix_subject1v3,matrix_subject1v4,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,subject_form_CC_subject1v4,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that_omission,uid,genre
0,0,1,-7.146302413206516,0,-8.775221461212439,0,0,1,18,0,0,3,1,2.19883358814192,1
0,0,1,-6.256071788002225,0,-10.940185176330436,0,0,1,4,0,0,-1,1,2.7692938263429285,0
0,0,1,-7.146302413206516,0,-5.3795035453149085,0,0,1,1,0,2,-2,1,2.19883358814192,0
0,0,1,-6.256071788002225,0,-5.810286461407363,0,0,1,3,0,14,-1,1,2.7692938263429285,0
0,0,1,-9.468368641772383,0,-10.940185176330436,0,0,1,5,0,0,-1,1,4.110873864173311,1
0,0,1,-7.146302413206516,0,-5.810286461407363,0,0,1,1,0,4,-2,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-8.030166421050476,0,0,1,2,0,3,-1,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-6.573453486692192,0,0,1,11,0,0,-1,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-6.573453486692192,0,0,1,10,0,4,-2,1,2.19883358814192,1
0,0,1,-7.146302413206516,0,-10.940185176330436,0,0,1,2,0,0,-1,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-5.810286461407363,0,0,1,2,0,9,-1,1,2.19883358814192,1
0,0,1,-6.324357695868357,0,-8.280925139397658,0,0,1,0,0,4,-2,1,4.952299717083292,0
0,0,1,-7.146302413206516,0,-8.280925139397658,0,0,1,2,0,3,-2,1,2.19883358814192,1
0,0,1,-7.146302413206516,0,-6.751613271442842,0,0,1,6,0,2,-2,1,2.19883358814192,1
0,0,1,-7.146302413206516,0,-7.524803159676324,0,0,1,2,0,2,-2,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-5.3795035453149085,0,0,1,0,0,2,-2,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-8.167596454090654,0,0,1,12,0,0,-1,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-8.167596454090654,0,0,1,2,0,0,-1,1,2.19883358814192,1
0,0,1,-7.146302413206516,0,-10.21194667595922,0,0,1,13,0,0,-1,1,2.19883358814192,0
0,0,1,-6.324357695868357,0,-8.167596454090654,0,0,1,2,0,0,-1,1,4.952299717083292,1
0,0,1,-6.855410065124486,0,-8.167596454090654,0,0,1,5,0,0,-1,1,3.4279955748168796,0
0,0,1,-6.324357695868357,0,-8.167596454090654,0,0,1,2,0,0,-1,1,4.952299717083292,1
0,0,1,-7.146302413206516,0,-9.608950592393573,0,0,1,3,0,2,-2,1,2.19883358814192,1
0,0,1,-7.146302413206516,0,-10.634803526779255,0,0,1,2,0,0,-2,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-6.203360357730682,0,0,1,2,0,0,-1,1,2.19883358814192,1
0,0,1,-6.256071788002225,0,-5.3795035453149085,0,1,0,4,0,1,-1,1,2.7692938263429285,0
0,0,0,-7.437205100358338,0,-11.094335856157695,0,0,1,6,0,0,-2,1,3.7441421327889857,1
0,0,1,-7.610534945960329,0,-11.78748303671764,0,1,0,2,0,1,-3,0,2.972975286431375,1
0,0,0,-8.041908238927158,0,-6.801595912310578,0,1,0,12,0,1,-3,0,2.07159836421881,0
0,0,0,-8.041908238927158,0,-6.255411939743378,0,0,1,2,0,0,-4,0,2.07159836421881,0
0,0,0,-8.516647472918727,0,-6.433258038231307,0,0,1,1,0,0,-1,1,1.2124474313169082,1
0,0,1,-7.610534945960329,0,-10.488200052587379,0,0,1,4,0,0,-1,1,2.972975286431375,1
0,0,1,-7.146302413206516,0,-6.518766139945893,0,0,1,16,0,0,5,1,2.19883358814192,1
0,0,1,-8.688893377723941,0,-8.232134975228226,0,0,1,22,0,0,-4,0,3.0985896589936988,0
0,1,0,-8.041908238927158,0,-6.433258038231307,0,0,1,9,0,0,-5,0,2.07159836421881,0
0,0,0,-7.437205100358338,0,-6.926379476592348,0,0,1,3,0,0,-1,1,3.7441421327889857,1
0,0,1,-8.588809919166959,0,-9.571909320713225,0,0,1,4,0,0,-1,1,3.6041382256588457,1
0,0,1,-6.195253047967186,0,-10.806653783705913,0,0,1,8,0,0,-29,0,1.5146925448447344,0
0,0,1,-7.747360028662178,0,-11.382017928609475,0,0,1,10,0,0,-3,0,5.1387352967235715,0
0,0,1,-7.146302413206516,0,-11.78748303671764,0,0,1,2,0,0,-24,0,2.19883358814192,1
0,0,1,-6.256071788002225,0,-8.041908238927158,0,0,1,3,0,1,-1,1,2.7692938263429285,0
0,0,1,-6.324357695868357,0,-13.579242505945695,0,0,1,17,0,0,-3,0,4.952299717083292,0
0,0,1,-8.041908238927158,0,-5.810286461407363,0,0,1,6,0,6,-1,1,2.07159836421881,1
0,0,1,-8.767058150573277,0,-12.192948144825804,0,0,1,5,0,0,-14,0,2.327277705584417,1
0,0,1,-9.07943283561543,0,-8.246523712680325,0,0,1,1,0,0,-5,0,2.4203681286504293,1
0,0,1,-8.767058150573277,0,-8.467254717589151,1,0,0,13,0,1,-3,0,2.327277705584417,1
0,0,1,-10.023894444456282,0,-6.801595912310578,0,0,1,25,0,11,-3,0,2.8622008809294686,0
0,1,0,-7.437205100358338,0,-6.801595912310578,0,0,1,15,0,1,-1,1,3.7441421327889857,1
0,0,1,-8.791750763163648,0,-8.41445653202218,0,0,1,32,0,10,-3,0,1.455287232606842,1
0,0,1,-7.762131345982491,0,-5.3795035453149085,0,1,0,2,0,1,-1,1,3.871201010907891,0
0,1,0,-7.762131345982491,0,-12.480630217277586,0,0,1,6,0,0,-1,1,3.871201010907891,1
0,0,1,-6.794785443308052,0,-8.659261580117569,0,0,0,4,0,1,-1,1,2.1210179685255763,0
0,1,0,-6.794785443308052,0,-8.659261580117569,0,0,0,1,0,1,-1,1,2.1210179685255763,0
0,0,0,-6.256071788002225,0,-10.583510232391705,0,0,0,28,0,1,-1,1,2.7692938263429285,1
0,0,0,-5.810286461407363,0,-7.45455911505149,0,0,1,12,0,0,-2,1,5.204006687076795,1
0,0,0,-5.810286461407363,0,-7.17566830801088,0,0,1,8,0,0,-1,1,5.204006687076795,0
0,0,0,-6.794785443308052,0,-5.3795035453149085,0,0,1,1,0,0,-2,1,2.1210179685255763,0
0,0,1,-7.146302413206516,0,-8.82565231483933,0,1,0,16,0,1,-1,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-8.659261580117569,0,0,1,9,0,0,-2,1,2.19883358814192,0
0,0,1,-7.146302413206516,0,-5.975344537423814,0,0,1,16,0,0,-4,0,2.19883358814192,1
0,0,0,-6.794785443308052,0,-6.433258038231307,0,0,1,1,0,0,-1,1,2.1210179685255763,0
0,0,1,-6.794785443308052,0,-11.78748303671764,0,0,1,10,0,0,-1,1,2.1210179685255763,0
0,0,0,-6.256071788002225,0,-5.810286461407363,0,1,0,1,0,1,-1,1,2.7692938263429285,1
0,1,0,-6.195253047967186,0,-9.468368641772383,0,1,0,1,0,1,-1,1,1.5146925448447344,0
0,1,0,-9.468368641772383,0,-10.113506603145968,0,0,1,5,0,0,-2,1,4.110873864173311,0
0,0,1,-6.794785443308052,0,-6.855410065124486,0,0,1,0,0,0,-1,1,2.1210179685255763,0
0,0,1,-6.549269594239308,0,-5.3795035453149085,0,0,0,0,0,1,-1,1,2.767293034665071,0
0,0,0,-6.794785443308052,0,-6.433258038231307,1,0,0,7,0,1,-1,1,2.1210179685255763,1
0,0,0,-6.794785443308052,0,-8.057781588083449,0,0,1,1,0,0,-1,1,2.1210179685255763,1
0,0,1,-8.696440583359324,0,-11.181347233147324,0,0,1,14,0,0,-2,1,2.3178525651248343,0
1,0,0,-7.146302413206516,0,-9.772580016175375,0,0,1,30,0,0,-1,1,2.19883358814192,0
0,0,1,-8.696440583359324,0,-5.3795035453149085,0,0,1,48,0,5,-3,0,2.3178525651248343,0
0,0,0,-6.256071788002225,0,-12.480630217277586,1,0,0,20,0,1,-1,1,2.7692938263429285,1
0,0,0,-9.136591249455378,0,-8.057781588083449,0,0,1,1,0,0,-1,1,2.1400661634962708,1
0,0,0,-9.136591249455378,0,-8.136824795423902,0,0,1,1,0,0,-1,1,2.1400661634962708,0
0,1,0,-8.10697183227422,0,-10.806653783705913,0,0,1,20,0,2,-1,1,2.1764338076671454,0
0,0,0,-6.794785443308052,0,-7.623405136480864,0,0,1,3,0,2,-1,1,2.1210179685255763,0
0,0,1,-8.473297032045114,1,-7.762131345982491,0,0,1,3,0,2,-3,0,3.0265039322207445,1
0,0,1,-6.195253047967186,0,-5.810286461407363,0,1,0,6,0,1,6,1,1.5146925448447344,0
0,0,0,-6.549269594239308,0,-10.360366681077494,0,0,1,4,0,0,-7,0,2.767293034665071,0
0,0,0,-8.10697183227422,0,-11.014293148484159,0,0,1,9,0,2,-1,1,2.1764338076671454,0
0,0,0,-6.794785443308052,0,-9.222533679256102,0,0,0,1,0,1,-1,1,2.1210179685255763,0
