matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,uid_avgStep,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-9.07943283561543,1,-0.0001694679333658,0,0,1,1,17,-8.87876214015328,0,0,-4,0,0,0
0,-8.767058150573277,1,0.0001448578900451,0,0,1,1,15,-5.3795035453149085,0,0,-3,0,2,0
0,-5.3795035453149085,1,8.812457032990242e-05,0,1,1,1,29,-12.88609532538575,0,0,-1,0,4,0
0,-10.023894444456282,1,-0.0008585171747034,0,0,0,1,4,-8.3752358188689,0,0,-3,0,7,1
0,-8.767058150573277,1,2.1256673893936084e-05,0,0,1,0,14,-9.865670439241386,0,0,-40,0,0,0
0,-6.324357695868357,1,0.0006077810751001,0,0,0,0,8,-8.87876214015328,0,0,-21,0,0,1
0,-6.324357695868357,1,0.0004497922491282,0,0,0,0,8,-8.227384372469627,0,0,-3,0,2,1
0,-6.855410065124486,1,0.0002165987718859,0,0,0,0,35,-12.480630217277586,0,0,-5,0,0,1
0,-6.324357695868357,1,0.0034250422484344,0,0,0,1,1,-12.88609532538575,0,0,-6,0,0,1
0,-9.374549886554728,1,0.0001866144736354,0,0,0,1,1,-11.014293148484159,0,0,-3,0,2,1
0,-8.954269692661423,1,-0.0002866017023975,0,0,0,1,26,-12.480630217277586,0,0,-5,0,0,1
0,-10.871192304843484,1,1.0421371401904498e-05,0,0,1,1,28,-5.810286461407363,0,0,-3,0,2,0
0,-6.324357695868357,1,0.0018834461567594,0,0,1,0,2,-9.288783064797304,0,0,-2,0,0,0
0,-6.855410065124486,1,0.0009547935313537,0,0,0,0,7,-8.467254717589151,0,0,-3,0,7,1
0,-8.609429206369693,1,0.0007015086689256,0,0,0,1,1,-10.634803526779255,0,0,-16,0,0,1
0,-6.855410065124486,1,0.0009157051016547,0,0,1,0,11,-9.468368641772383,0,0,-3,0,1,0
0,-8.041908238927158,1,0.0001443188245359,0,0,1,1,13,-8.727212242026077,0,0,-6,0,0,0
0,-6.195253047967186,1,0.0003426683977955,0,0,0,0,5,-6.195253047967186,0,0,-8,0,0,1
0,-9.865670439241386,1,-0.0007037853615151,0,0,1,1,17,-7.744431768883089,0,0,-3,0,3,0
0,-7.829849520037441,1,0.0001997066640305,0,0,1,0,21,-11.969804593511594,0,0,-4,0,0,0
0,-8.673967727507264,1,0.0026113532770138,0,0,1,1,6,-10.360366681077494,0,0,-6,0,0,0
0,-6.748368271299515,1,0.0003751483966349,0,0,1,1,19,-11.78748303671764,0,0,-11,0,0,0
0,-7.623405136480864,1,0.0003904858171337,0,0,0,0,19,-12.88609532538575,0,0,-4,0,0,1
0,-6.324357695868357,1,-6.219770809913656e-05,0,0,1,1,2,-8.727212242026077,0,0,-11,0,0,0
0,-10.023894444456282,1,0.0002667920636957,0,0,0,1,3,-10.806653783705913,0,0,-3,0,0,1
0,-6.324357695868357,1,-0.0001392808325331,0,0,1,1,2,-9.302576386929639,0,0,-4,0,0,0
0,-8.767058150573277,1,0.000702204733071,0,0,1,1,7,-8.758960940340657,0,0,-3,0,2,0
0,-8.246523712680325,1,6.053143244036255e-05,0,0,1,0,5,-9.316562628904379,0,0,-3,0,12,0
0,-8.767058150573277,1,7.314043891421765e-06,0,0,1,0,32,-6.573453486692192,0,0,-3,0,0,0
0,-8.767058150573277,1,-0.0003118803819415,0,0,1,0,21,-9.23543708409201,0,0,-3,0,2,0
0,-8.767058150573277,1,0.0017639874879802,0,0,0,1,1,-10.178045124283539,0,0,-6,0,0,1
0,-8.767058150573277,1,0.0012531285795072,0,0,0,1,1,-8.688893377723941,0,0,-4,0,0,1
0,-6.324357695868357,1,-4.337026207204943e-05,0,0,1,1,36,-11.181347233147324,0,0,-4,0,0,0
0,-7.623405136480864,1,0.0011471942296394,0,0,1,0,5,-5.3795035453149085,0,0,-3,0,2,0
0,-9.772580016175375,1,-0.000180140370088,0,0,0,1,1,-11.014293148484159,0,0,-11,0,0,1
0,-8.609429206369693,1,-0.0003608336805232,0,0,0,1,3,-8.588809919166959,0,0,-9,0,0,1
0,-6.195253047967186,1,-0.0011932310151557,0,0,1,0,5,-8.348133889091107,0,0,-8,0,0,0
0,-9.222533679256102,1,-0.0002801311432674,0,0,1,1,12,-12.480630217277586,0,0,-7,0,0,0
0,-9.07943283561543,1,8.897282645221817e-05,0,0,1,1,20,-11.094335856157695,0,0,-13,0,0,0
0,-10.940185176330436,1,0.0006088580634883,0,0,1,1,1,-10.488200052587379,0,0,-3,0,3,0
0,-7.829849520037441,1,-5.257381784795509e-05,0,0,1,0,30,-5.3795035453149085,0,0,-3,0,3,0
0,-9.89036305183176,1,2.837900095913992e-05,0,0,1,1,14,-9.795052872027433,0,0,-9,0,0,0
0,-8.767058150573277,1,-6.73586832760243e-06,0,0,1,1,53,-8.87876214015328,0,0,-5,0,0,0
0,-8.767058150573277,1,0.0001241120914954,0,0,1,0,7,-12.88609532538575,0,0,-8,0,0,0
0,-8.954269692661423,1,0.0001496062779151,0,0,1,1,18,-6.855410065124486,0,0,-3,0,1,0
0,-10.283405639941366,1,0.0038786586374044,0,0,0,1,1,-9.436107779554161,0,0,-5,0,0,1
0,-6.256071788002225,0,0.0015020354084022,0,0,1,0,10,-5.3795035453149085,0,1,-4,0,1,0
0,-9.468368641772383,0,-0.0022686722494683,0,0,1,0,3,-7.762131345982491,0,1,-3,0,1,0
0,-6.855410065124486,0,0.0001772617096783,0,1,1,1,3,-9.014894314477859,0,1,-1,0,1,0
0,-6.794785443308052,0,-8.54551741330924e-06,0,0,1,1,15,-6.60476359492065,0,0,-18,0,1,0
0,-9.667219500517549,1,0.0002595253260523,0,0,1,1,18,-7.508504777943205,0,0,-5,0,0,0
