matrix_subject1v2,matrix_subject1v3,matrix_subject1v4,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,subject_form_CC_subject1v4,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that_omission,uid,genre
0,0,0,-6.654018782394191,0,-9.014872783512212,0,0,0,1,0,1,-1,1,1.9892904446855384,0
0,0,0,-8.347043410936557,0,-12.010605057066204,0,1,0,1,0,1,-3,0,1.3609765531356008,0
0,0,1,-6.199464064089503,0,-6.236053511521796,0,0,1,14,0,0,-1,1,1.157180642819177,0
0,0,1,-7.328473829941984,0,-7.762109815016845,0,0,1,3,0,3,-6,0,2.890371757896165,0
0,0,1,-6.199464064089503,0,-9.708019964072157,0,0,1,12,0,0,-3,0,1.157180642819177,0
0,0,1,-6.199464064089503,0,-10.911992768398093,0,0,1,16,0,0,-4,1,1.157180642819177,0
0,0,1,-9.302554855963994,0,-6.236053511521796,0,0,1,12,0,0,-2,1,2.70805020110221,1
0,0,1,-6.199464064089503,0,-10.624310695946313,0,0,1,4,0,0,-1,1,1.157180642819177,0
0,0,1,-9.302554855963994,0,-10.911992768398093,0,0,1,19,0,0,-8,0,2.70805020110221,1
0,1,0,-6.199464064089503,0,-10.911992768398093,0,0,1,1,0,0,-1,1,1.157180642819177,0
0,0,1,-6.199464064089503,0,-9.931163515386368,0,0,1,2,0,2,-1,1,1.157180642819177,0
0,0,1,-6.199464064089503,0,-10.911992768398093,0,0,1,25,0,0,1,1,1.157180642819177,1
0,0,1,-6.199464064089503,0,-11.317457876506259,0,0,1,2,0,0,-2,1,1.157180642819177,1
0,1,0,-6.199464064089503,0,-10.401167144632103,0,0,0,45,0,1,45,1,1.157180642819177,0
0,0,1,-6.199464064089503,0,-8.226415423147943,0,0,1,2,0,5,-1,1,1.157180642819177,0
0,0,1,-9.445655699604668,0,-6.481175969554781,0,0,1,2,0,5,-3,0,1.466337068793427,0
0,0,1,-6.199464064089503,0,-8.040313143514082,0,0,1,2,0,0,-1,1,1.157180642819177,1
0,1,0,-6.199464064089503,0,-10.401167144632103,0,0,1,1,0,0,-1,1,1.157180642819177,0
0,0,1,-6.199464064089503,0,-6.236053511521796,0,0,1,70,0,0,-2,1,1.157180642819177,1
0,0,1,-6.542544915931073,0,-11.317457876506259,0,0,1,50,0,0,-1,1,2.423537703411708,1
0,0,1,-9.708019964072157,0,-9.708019964072157,0,0,1,7,0,0,-5,0,1.6094379124341003,1
0,0,1,-6.199464064089503,0,-10.401167144632103,0,0,1,1,0,0,-1,1,1.157180642819177,1
0,0,1,-6.199464064089503,0,-11.317457876506259,0,0,1,2,0,0,-1,1,1.157180642819177,0
0,1,0,-6.199464064089503,0,-11.317457876506259,0,1,0,30,0,1,30,1,1.157180642819177,1
0,0,1,-6.199464064089503,0,-7.033871314645629,0,0,1,9,0,0,-1,1,1.157180642819177,0
0,1,0,-6.199464064089503,0,-11.317457876506259,0,0,1,1,0,0,-1,1,1.157180642819177,1
0,0,1,-8.544869154266477,0,-5.862136761148557,0,0,1,5,0,7,-1,1,1.3862943611198906,0
0,0,1,-6.199464064089503,0,-6.236053511521796,0,0,1,57,0,0,-1,1,1.157180642819177,1
0,0,1,-8.544869154266477,0,-6.236053511521796,0,0,1,13,0,0,-6,0,1.3862943611198906,1
0,0,1,-6.199464064089503,0,-10.911992768398093,0,0,1,16,0,0,1,1,1.157180642819177,1
0,0,1,-9.177391713009987,0,-10.911992768398093,0,0,1,22,0,0,-9,0,2.833213344056216,1
0,0,1,-7.5679538005758875,0,-6.702337359664999,0,0,1,28,0,0,-1,1,3.3440389678222067,0
0,1,0,-6.199464064089503,0,-10.624310695946313,0,0,1,2,0,0,1,1,1.157180642819177,0
0,0,1,-6.1641662820084795,0,-11.317457876506259,0,0,1,12,0,0,-5,0,2.901999795891284,0
0,0,0,-6.1641662820084795,0,-7.033871314645629,0,0,1,4,0,0,-1,1,2.901999795891284,1
0,0,1,-6.542544915931073,0,-9.445655699604668,0,0,1,19,0,2,-3,0,2.423537703411708,0
0,0,1,-6.654018782394191,0,-11.317457876506259,0,0,1,29,0,0,3,1,1.9892904446855384,1
0,0,1,-6.1641662820084795,0,-6.20246256708576,0,1,0,9,0,1,-1,1,2.901999795891284,0
0,0,1,-7.385632243781933,0,-10.911992768398093,0,0,1,11,0,0,-4,0,3.5263605246161616,1
0,0,1,-6.654018782394191,0,-10.624310695946313,0,0,1,6,0,0,-11,0,1.9892904446855384,0
0,0,1,-8.181963660577109,0,-7.556257760812696,0,0,1,9,0,0,-4,0,2.03688192726104,0
0,0,1,-7.4673102747962,0,-7.425637578395632,0,0,1,5,0,0,-1,1,2.751535313041949,0
0,0,1,-7.4673102747962,0,-12.010605057066204,0,0,1,2,0,0,-1,1,2.751535313041949,0
0,0,1,-6.654018782394191,0,-5.862136761148557,0,0,1,30,0,0,-4,0,1.9892904446855384,1
0,0,1,-6.199464064089503,0,-8.514097495599724,0,0,1,5,0,2,-1,1,1.157180642819177,1
0,0,1,-8.181963660577109,0,-8.427086118610093,0,0,1,16,0,1,-3,0,2.03688192726104,1
0,0,1,-8.514097495599724,0,-12.010605057066204,0,0,1,8,0,0,-14,0,2.803360380906535,1
0,0,1,-9.177391713009987,0,-6.086349259651672,0,0,1,8,0,0,-6,0,1.7346010553881064,1
0,1,0,-7.4673102747962,0,-10.401167144632103,0,0,1,14,0,8,-3,0,2.751535313041949,0
0,0,0,-6.654018782394191,0,-6.086349259651672,0,0,1,1,0,0,-4,0,1.9892904446855384,0
0,0,0,-9.708019964072157,1,-6.20246256708576,0,1,0,6,0,1,2,1,1.6094379124341003,1
0,0,1,-6.199464064089503,0,-10.624310695946313,0,0,1,4,0,0,-2,1,1.157180642819177,1
