matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,uid_var,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-7.610534945960329,0,0,0,1,1,2,-50.11073531706309,-11.78748303671764,0,1,-3,0,1,0
0,-8.041908238927158,0,0,0,0,0,12,-1.6828553124820225,-6.801595912310578,0,1,-3,0,1,0
0,-8.041908238927158,1,0,0,0,1,2,-0.1411711213383455,-6.255411939743378,0,0,-4,0,0,0
0,-8.688893377723941,1,0,0,1,1,22,0.7945913614551188,-8.232134975228226,0,0,-4,0,0,0
0,-8.041908238927158,1,0,0,0,1,9,0.141618884486677,-6.433258038231307,0,0,-5,0,0,1
0,-8.588809919166959,1,0,1,1,1,4,0.5016518013568607,-9.571909320713225,0,0,-1,0,0,0
0,-6.195253047967186,1,0,0,1,1,8,0.4481565943766021,-10.806653783705913,0,0,-29,0,0,0
0,-7.747360028662178,1,0,0,1,0,10,0.1739821649027586,-11.382017928609475,0,0,-3,0,0,0
0,-7.146302413206516,1,0,0,1,0,2,-1.0062478656956202,-11.78748303671764,0,0,-24,0,0,0
0,-6.324357695868357,1,0,0,1,0,17,1.537413620869387,-13.579242505945695,0,0,-3,0,0,0
0,-8.041908238927158,1,0,1,1,0,6,0.0733234775812547,-5.810286461407363,0,0,-1,0,6,0
0,-8.767058150573277,1,0,0,1,0,5,-2.904044397518014,-12.192948144825804,0,0,-14,0,0,0
0,-9.07943283561543,1,0,0,1,1,1,-3.7940620038137496,-8.246523712680325,0,0,-5,0,0,0
0,-8.767058150573277,0,0,0,1,1,13,-0.3322468858107612,-8.467254717589151,1,0,-3,0,1,0
0,-10.023894444456282,1,0,0,1,1,25,-0.1418818714795886,-6.801595912310578,0,0,-3,0,11,0
0,-7.437205100358338,1,0,1,0,1,15,-1.592636537061793,-6.801595912310578,0,0,-1,0,1,1
0,-8.791750763163648,1,0,0,1,1,32,0.5022248478070139,-8.41445653202218,0,0,-3,0,10,0
0,-7.762131345982491,0,0,1,1,1,2,3.385512152890133,-5.3795035453149085,0,1,-1,0,1,0
0,-6.794785443308052,0,0,1,1,0,4,-2.484196710049244,-8.659261580117569,0,0,-1,0,1,0
0,-6.794785443308052,0,0,1,0,1,1,40.45224859866758,-8.659261580117569,0,0,-1,0,1,1
0,-6.256071788002225,0,0,1,0,1,28,0.97130027021268,-10.583510232391705,0,0,-1,0,1,0
0,-7.146302413206516,1,0,0,1,1,16,0.3434269953999873,-5.975344537423814,0,0,-4,0,0,0
0,-6.256071788002225,0,0,1,0,1,1,84.03687978039022,-5.810286461407363,0,1,-1,0,1,0
0,-6.195253047967186,0,0,1,0,1,1,-2.6473352998466595,-9.468368641772383,0,1,-1,0,1,1
0,-6.794785443308052,0,0,1,0,1,7,1.1811437130269944,-6.433258038231307,1,0,-1,0,1,0
0,-8.696440583359324,1,0,0,1,0,48,0.4554545484143162,-5.3795035453149085,0,0,-3,0,5,0
0,-6.256071788002225,0,0,1,0,1,20,-9.36717054117974,-12.480630217277586,1,0,-1,0,1,0
0,-8.10697183227422,1,0,1,0,1,20,0.6037970516307674,-10.806653783705913,0,0,-1,0,2,1
0,-6.794785443308052,1,0,1,0,0,3,3.896688066621813,-7.623405136480864,0,0,-1,0,2,0
0,-8.473297032045114,1,0,0,1,1,3,-0.3686105913550506,-7.762131345982491,0,0,-3,1,2,0
0,-6.549269594239308,1,0,0,0,1,4,-6.184324264355226,-10.360366681077494,0,0,-7,0,0,0
0,-8.10697183227422,1,0,1,0,1,9,1.2036858870539184,-11.014293148484159,0,0,-1,0,2,0
0,-6.794785443308052,0,0,1,0,0,1,32.16120945756458,-9.222533679256102,0,0,-1,0,1,0
0,-8.10697183227422,0,0,0,0,0,1,1.2415269000142557,-12.192948144825804,0,1,-3,0,1,0
0,-7.146302413206516,1,0,0,1,1,3,-0.1424530857054176,-8.115410700920085,0,0,-6,0,3,0
0,-6.195253047967186,1,0,0,1,0,12,2.5240736995922504,-9.89036305183176,0,0,-3,0,0,0
0,-9.841572887662327,1,0,0,1,0,19,-0.3001105561144239,-11.78748303671764,0,0,-8,0,0,0
0,-6.195253047967186,1,0,1,1,0,2,0.9193552815958164,-9.59025845938142,0,0,-1,0,2,0
0,-6.195253047967186,1,0,1,1,0,25,0.0673491835665593,-11.094335856157695,0,0,1,0,0,0
0,-10.534720068222272,1,0,0,1,1,26,-0.4708326211537983,-10.583510232391705,0,0,-3,0,0,0
0,-6.195253047967186,1,0,1,1,1,2,0.0839908642329962,-8.467254717589151,0,0,-1,0,5,0
0,-9.38958776391927,1,0,0,1,0,2,0.4408593983566309,-6.573453486692192,0,0,-3,0,5,0
0,-8.348133889091107,1,0,0,1,1,7,0.0911627021189325,-10.583510232391705,0,0,-5,0,0,0
0,-8.791750763163648,1,0,0,1,1,13,-0.3283865716086556,-6.203360357730682,0,0,-6,0,0,0
0,-9.275177412741526,1,0,0,1,0,22,0.2881704913873726,-11.78748303671764,0,0,-9,0,0,0
0,-9.729094904235636,0,0,0,1,0,6,3.772154885103301,-7.17566830801088,1,0,-3,0,1,0
0,-9.627998787364268,1,0,0,1,0,20,-24.55287641755352,-9.374549886554728,0,0,-4,0,0,0
0,-9.94165634621931,1,0,0,1,1,12,2.569335482443563,-9.316562628904379,0,0,-10,0,0,0
0,-6.256071788002225,1,0,0,1,1,12,0.7367849311503818,-12.192948144825804,0,0,-5,0,0,0
0,-6.549269594239308,1,0,0,1,0,19,-1.9019641803185507,-9.420359422586023,0,0,-3,0,2,0
0,-8.944513517716059,1,0,0,1,0,6,0.3361174987585613,-11.276657412951648,0,0,-9,0,0,0
0,-6.256071788002225,0,0,1,1,0,9,0.6809063167931733,-6.255411939743378,0,1,-1,0,1,0
0,-6.324357695868357,1,0,0,1,0,11,0.255678884196314,-9.38958776391927,0,0,-4,0,0,0
0,-6.794785443308052,1,0,0,1,1,6,-10.598752055270054,-10.871192304843484,0,0,-11,0,0,0
0,-8.041908238927158,1,0,0,1,0,9,-0.07760212111857,-7.786228897561551,0,0,-4,0,0,0
0,-7.623405136480864,1,0,1,1,0,5,1.6749868390258469,-7.508504777943205,0,0,-1,0,0,0
0,-7.623405136480864,1,0,1,1,0,2,7.210074912737692,-12.480630217277586,0,0,-1,0,0,0
0,-6.794785443308052,1,0,0,1,1,30,0.402820160274441,-5.810286461407363,0,0,-4,0,0,0
0,-6.195253047967186,1,0,1,1,0,5,-0.0451193521637716,-8.65198882078849,0,0,-1,0,2,0
0,-8.041908238927158,1,0,0,1,0,16,0.3109749819926826,-8.87876214015328,0,0,-3,0,1,0
0,-8.65198882078849,1,0,0,1,0,8,-1.572245587583584,-11.78748303671764,0,0,-14,0,0,0
0,-9.275177412741526,1,0,0,1,1,8,-0.7541715289483761,-6.2064961395413665,0,0,-6,0,0,0
0,-7.623405136480864,1,0,0,0,1,14,0.6539419248648546,-10.534720068222272,0,0,-3,0,8,1
0,-6.794785443308052,1,0,0,0,1,1,-0.1877823192408136,-6.2064961395413665,0,0,-4,0,0,0
0,-6.195253047967186,1,0,0,1,0,13,7.668377709836541,-9.647416873221369,0,0,-5,0,0,0
0,-8.473297032045114,1,0,1,0,1,40,1.015998463762692,-6.518766139945893,0,0,2,0,0,0
0,-6.256071788002225,1,0,1,1,1,3,3.8618609341311583,-6.518766139945893,0,0,2,0,0,0
0,-6.195253047967186,1,0,0,1,0,2,-9.369936071407489,-12.480630217277586,0,0,-3,0,6,0
0,-7.623405136480864,0,0,1,0,1,18,0.6192841601593635,-5.3795035453149085,1,0,-1,0,1,1
0,-9.004531527442312,1,0,0,1,0,26,-1.1439054206271615,-9.004531527442312,0,0,-3,0,5,0
0,-6.748368271299515,1,0,1,1,1,24,0.7973127342867716,-6.433258038231307,0,0,-1,0,4,0
0,-8.285937681221203,0,0,1,0,0,4,-1.1936650485593605,-5.975344537423814,0,0,-1,0,1,0
0,-6.794785443308052,0,0,1,0,0,2,0.764565085431725,-7.146302413206516,0,1,-1,0,1,0
0,-6.794785443308052,0,0,1,1,0,3,4.027657894733643,-6.926379476592348,1,0,-1,0,1,0
0,-6.794785443308052,1,0,1,0,0,3,-314.27570059605404,-8.984122655811104,0,0,-1,1,0,0
0,-9.7506011094566,0,0,0,1,0,9,0.8431955728963061,-8.588809919166959,0,1,-3,0,1,0
0,-6.195253047967186,0,0,1,0,0,1,3.469566487985894,-8.27593759788662,0,0,-1,0,1,1
0,-6.195253047967186,1,0,1,0,1,2,0.6849476008786155,-11.499800964265859,0,0,-1,0,0,0
0,-6.195253047967186,0,0,1,0,0,2,0.52372582369415,-6.203360357730682,0,0,-1,0,1,1
0,-6.195253047967186,1,0,1,0,1,33,-0.2083351725657642,-5.810286461407363,0,0,-1,0,2,0
0,-6.195253047967186,1,0,1,0,0,2,12.423808909816046,-12.192948144825804,0,0,-1,0,0,0
0,-8.473297032045114,0,0,1,0,0,1,7.958885161770141,-5.975344537423814,1,0,-1,0,1,0
0,-6.794785443308052,1,0,1,0,0,1,3.773122339243546,-9.94165634621931,0,0,-1,0,0,0
0,-6.794785443308052,0,0,1,0,0,5,1.5643698205617405,-6.748368271299515,0,1,-1,0,1,0
0,-9.275177412741526,0,0,1,1,1,4,4.827609133629629,-9.275177412741526,0,1,-1,0,1,0
0,-8.10697183227422,0,0,1,1,1,6,3.4953622512622218,-11.014293148484159,0,1,-1,0,1,0
0,-6.549269594239308,1,0,0,0,1,15,1.305502325570021,-12.480630217277586,0,0,-5,0,0,1
0,-8.944513517716059,1,0,0,0,1,1,-27.73540091906697,-12.480630217277586,0,0,-12,0,0,0
0,-6.256071788002225,0,0,1,0,1,7,1.5734049110862642,-6.60476359492065,0,0,-1,0,1,0
0,-8.041908238927158,1,0,1,0,0,4,-1.11827796067967,-5.810286461407363,0,0,-1,0,5,0
0,-8.251366337156114,1,0,1,0,0,1,7.176118317285145,-5.3795035453149085,0,0,-1,0,3,0
0,-8.246523712680325,1,0,1,1,0,11,4.817450008768265,-8.090304779789008,0,0,-1,0,0,0
0,-9.07943283561543,0,0,1,1,1,6,-0.086422737741282,-11.276657412951648,0,1,-1,0,1,0
0,-8.10697183227422,0,0,1,1,1,5,0.0397247849641999,-8.232134975228226,0,0,-1,0,1,0
0,-6.256071788002225,1,0,0,1,1,8,-0.3392549846283135,-12.88609532538575,0,0,-4,0,0,0
0,-6.256071788002225,0,0,0,1,1,14,-0.3060056644366611,-8.251366337156114,0,0,-3,0,1,0
0,-6.256071788002225,0,0,0,1,1,27,0.2232730672933449,-8.280925139397658,0,0,-3,0,1,0
0,-7.623405136480864,1,0,0,1,0,28,-0.933164569637828,-9.288783064797304,0,0,-5,0,0,0
0,-6.195253047967186,0,0,1,1,1,5,0.5584039105419656,-8.595635884237359,0,1,-1,0,1,0
0,-6.195253047967186,1,0,1,1,0,9,0.3069305843221137,-9.113334387291111,0,0,-1,0,4,0
0,-6.195253047967186,1,0,0,1,0,1,-0.6725779153809057,-10.68887074804953,0,0,-8,0,0,0
0,-9.627998787364268,1,0,0,1,0,4,-0.1983998442173327,-8.588809919166959,0,0,-14,0,0,0
0,-9.004531527442312,1,0,0,1,0,2,2.3230040569983643,-11.499800964265859,0,0,-4,0,0,0
0,-9.968324593301471,1,0,0,1,1,2,-9.496126006266003,-10.746029161889478,0,0,-20,0,0,0
0,-9.841572887662327,1,0,0,1,0,6,-1.584446004797762,-5.810286461407363,0,0,-3,0,1,0
0,-8.65198882078849,1,0,0,1,1,9,-1.3491296267377386,-10.40118867559775,0,0,-3,0,0,0
0,-9.729094904235636,0,0,0,0,0,1,-2.65226763034686,-5.3795035453149085,0,1,-3,0,1,1
0,-6.256071788002225,1,0,1,0,0,1,0.0532836987069096,-7.344831780227323,0,0,-1,0,3,1
0,-9.772580016175375,1,0,0,1,0,9,0.1072127436162908,-10.534720068222272,0,0,-5,0,0,0
0,-11.014293148484159,1,0,0,1,0,6,1.9538026267053183,-12.88609532538575,0,0,-3,0,0,0
0,-8.041908238927158,1,0,1,1,1,4,0.6093644150908304,-9.113334387291111,0,0,-1,0,3,0
0,-8.27593759788662,1,0,0,0,1,1,4.572450195591145,-5.3795035453149085,0,0,-3,0,2,0
0,-6.2064961395413665,1,0,1,0,1,1,0.0899807549517373,-9.667219500517549,0,0,-1,0,0,1
0,-6.256071788002225,0,0,1,1,0,2,-0.0975103783370237,-5.3795035453149085,0,0,-1,0,1,0
0,-6.195253047967186,1,0,1,1,0,17,0.3457357815748203,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,1,0,1,1,0,15,1.6430889716270176,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,0,0,1,0,0,1,16.520426565355876,-8.431748029132242,0,1,-1,0,1,1
0,-6.195253047967186,1,0,1,1,0,19,3.205406388601421,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,1,0,1,0,1,11,2.1875726525284342,-5.810286461407363,0,0,-1,0,7,1
0,-6.195253047967186,1,0,0,1,1,13,0.1971252945006689,-6.549269594239308,0,0,-4,0,0,0
0,-8.767058150573277,1,0,1,1,0,4,0.7164347762646965,-10.360366681077494,0,0,5,1,0,0
0,-8.86971230463336,0,0,0,1,0,33,0.2761227206342802,-5.3795035453149085,0,1,-3,0,1,0
0,-8.791750763163648,1,0,0,1,1,1,4.9310095459580126,-12.192948144825804,0,0,-3,0,0,0
0,-9.841572887662327,1,0,0,1,1,1,3.652624429048089,-6.433258038231307,0,0,-3,0,5,0
0,-6.324357695868357,1,0,0,1,1,5,-0.007702793242311,-8.467254717589151,0,0,-10,0,0,0
0,-9.772580016175375,1,0,0,1,1,6,-0.0800104253676927,-8.984122655811104,0,0,-3,0,2,0
