matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,uid_biggestStep,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-7.610534945960329,0,0.212030854076147,0,0,1,1,2,-11.78748303671764,0,1,-3,0,1,0
0,-8.041908238927158,0,0.0,0,0,0,0,12,-6.801595912310578,0,1,-3,0,1,0
0,-8.041908238927158,1,0.0148836597800254,0,0,0,1,2,-6.255411939743378,0,0,-4,0,0,0
0,-8.688893377723941,1,0.0,0,0,1,1,22,-8.232134975228226,0,0,-4,0,0,0
0,-8.041908238927158,1,-0.1007899120450019,0,0,0,1,9,-6.433258038231307,0,0,-5,0,0,1
0,-8.588809919166959,1,-0.0144076198339462,0,1,1,1,4,-9.571909320713225,0,0,-1,0,0,0
0,-6.195253047967186,1,-0.0026234835386276,0,0,1,1,8,-10.806653783705913,0,0,-29,0,0,0
0,-7.747360028662178,1,-0.0564621835947036,0,0,1,0,10,-11.382017928609475,0,0,-3,0,0,0
0,-7.146302413206516,1,-0.0192595273256301,0,0,1,0,2,-11.78748303671764,0,0,-24,0,0,0
0,-6.324357695868357,1,0.0396284367889165,0,0,1,0,17,-13.579242505945695,0,0,-3,0,0,0
0,-8.041908238927158,1,-0.0151368081569671,0,1,1,0,6,-5.810286461407363,0,0,-1,0,6,0
0,-8.767058150573277,1,-0.003292441368103,0,0,1,0,5,-12.192948144825804,0,0,-14,0,0,0
0,-9.07943283561543,1,0.0998952388763427,0,0,1,1,1,-8.246523712680325,0,0,-5,0,0,0
0,-8.767058150573277,0,-0.0009795352816581,0,0,1,1,13,-8.467254717589151,1,0,-3,0,1,0
0,-10.023894444456282,1,-0.0303186476230621,0,0,1,1,25,-6.801595912310578,0,0,-3,0,11,0
0,-7.437205100358338,1,0.0056479573249816,0,1,0,1,15,-6.801595912310578,0,0,-1,0,1,1
0,-8.791750763163648,1,0.0,0,0,1,1,32,-8.41445653202218,0,0,-3,0,10,0
0,-7.762131345982491,0,-0.0014349594712257,0,1,1,1,2,-5.3795035453149085,0,1,-1,0,1,0
0,-6.794785443308052,0,0.0,0,1,1,0,4,-8.659261580117569,0,0,-1,0,1,0
0,-6.794785443308052,0,0.0388455539941787,0,1,0,1,1,-8.659261580117569,0,0,-1,0,1,1
0,-6.256071788002225,0,0.0,0,1,0,1,28,-10.583510232391705,0,0,-1,0,1,0
0,-7.146302413206516,1,0.0,0,0,1,1,16,-5.975344537423814,0,0,-4,0,0,0
0,-6.256071788002225,0,-0.0686424747109413,0,1,0,1,1,-5.810286461407363,0,1,-1,0,1,0
0,-6.195253047967186,0,-0.0415030568838119,0,1,0,1,1,-9.468368641772383,0,1,-1,0,1,1
0,-6.794785443308052,0,0.0006555914878845,0,1,0,1,7,-6.433258038231307,1,0,-1,0,1,0
0,-8.696440583359324,1,-0.0284920930862426,0,0,1,0,48,-5.3795035453149085,0,0,-3,0,5,0
0,-6.256071788002225,0,0.1188968569040298,0,1,0,1,20,-12.480630217277586,1,0,-1,0,1,0
0,-8.10697183227422,1,0.0,0,1,0,1,20,-10.806653783705913,0,0,-1,0,2,1
0,-6.794785443308052,1,-0.0127521157264709,0,1,0,0,3,-7.623405136480864,0,0,-1,0,2,0
0,-8.473297032045114,1,-0.0080984532833099,0,0,1,1,3,-7.762131345982491,0,0,-3,1,2,0
0,-6.549269594239308,1,0.0161021649837493,0,0,0,1,4,-10.360366681077494,0,0,-7,0,0,0
0,-8.10697183227422,1,-0.0365334004163742,0,1,0,1,9,-11.014293148484159,0,0,-1,0,2,0
0,-6.794785443308052,0,-0.0438397377729415,0,1,0,0,1,-9.222533679256102,0,0,-1,0,1,0
0,-8.10697183227422,0,-0.0192586705088615,0,0,0,0,1,-12.192948144825804,0,1,-3,0,1,0
0,-7.146302413206516,1,-0.0447858572006225,0,0,1,1,3,-8.115410700920085,0,0,-6,0,3,0
0,-6.195253047967186,1,0.0,0,0,1,0,12,-9.89036305183176,0,0,-3,0,0,0
0,-9.841572887662327,1,0.0,0,0,1,0,19,-11.78748303671764,0,0,-8,0,0,0
0,-6.195253047967186,1,0.0159953534603118,0,1,1,0,2,-9.59025845938142,0,0,-1,0,2,0
0,-6.195253047967186,1,0.0065407156944274,0,1,1,0,25,-11.094335856157695,0,0,1,0,0,0
0,-10.534720068222272,1,0.0926784761250019,0,0,1,1,26,-10.583510232391705,0,0,-3,0,0,0
0,-6.195253047967186,1,-0.0069068372249603,0,1,1,1,2,-8.467254717589151,0,0,-1,0,5,0
0,-9.38958776391927,1,-0.0377283990383148,0,0,1,0,2,-6.573453486692192,0,0,-3,0,5,0
0,-8.348133889091107,1,0.0,0,0,1,1,7,-10.583510232391705,0,0,-5,0,0,0
0,-8.791750763163648,1,0.0,0,0,1,1,13,-6.203360357730682,0,0,-6,0,0,0
0,-9.275177412741526,1,0.0,0,0,1,0,22,-11.78748303671764,0,0,-9,0,0,0
0,-9.729094904235636,0,-0.0607949905097484,0,0,1,0,6,-7.17566830801088,1,0,-3,0,1,0
0,-9.627998787364268,1,0.0,0,0,1,0,20,-9.374549886554728,0,0,-4,0,0,0
0,-9.94165634621931,1,0.0,0,0,1,1,12,-9.316562628904379,0,0,-10,0,0,0
0,-6.256071788002225,1,0.0,0,0,1,1,12,-12.192948144825804,0,0,-5,0,0,0
0,-6.549269594239308,1,0.0429110154509544,0,0,1,0,19,-9.420359422586023,0,0,-3,0,2,0
0,-8.944513517716059,1,-0.0747484564781189,0,0,1,0,6,-11.276657412951648,0,0,-9,0,0,0
0,-6.256071788002225,0,0.0,0,1,1,0,9,-6.255411939743378,0,1,-1,0,1,0
0,-6.324357695868357,1,-0.0133853480219841,0,0,1,0,11,-9.38958776391927,0,0,-4,0,0,0
0,-6.794785443308052,1,0.0976342186331749,0,0,1,1,6,-10.871192304843484,0,0,-11,0,0,0
0,-8.041908238927158,1,0.0280733108520507,0,0,1,0,9,-7.786228897561551,0,0,-4,0,0,0
0,-7.623405136480864,1,-0.2206781804561615,0,1,1,0,5,-7.508504777943205,0,0,-1,0,0,0
0,-7.623405136480864,1,-0.1337442547082901,0,1,1,0,2,-12.480630217277586,0,0,-1,0,0,0
0,-6.794785443308052,1,0.0,0,0,1,1,30,-5.810286461407363,0,0,-4,0,0,0
0,-6.195253047967186,1,0.0,0,1,1,0,5,-8.65198882078849,0,0,-1,0,2,0
0,-8.041908238927158,1,0.0,0,0,1,0,16,-8.87876214015328,0,0,-3,0,1,0
0,-8.65198882078849,1,0.0,0,0,1,0,8,-11.78748303671764,0,0,-14,0,0,0
0,-9.275177412741526,1,-0.030704990029335,0,0,1,1,8,-6.2064961395413665,0,0,-6,0,0,0
0,-7.623405136480864,1,0.0,0,0,0,1,14,-10.534720068222272,0,0,-3,0,8,1
0,-6.794785443308052,1,0.0034108310937881,0,0,0,1,1,-6.2064961395413665,0,0,-4,0,0,0
0,-6.195253047967186,1,-0.0520962923765182,0,0,1,0,13,-9.647416873221369,0,0,-5,0,0,0
0,-8.473297032045114,1,0.0,0,1,0,1,40,-6.518766139945893,0,0,2,0,0,0
0,-6.256071788002225,1,-0.001597985625267,0,1,1,1,3,-6.518766139945893,0,0,2,0,0,0
0,-6.195253047967186,1,-0.014960503205657,0,0,1,0,2,-12.480630217277586,0,0,-3,0,6,0
0,-7.623405136480864,0,-0.0469507873058319,0,1,0,1,18,-5.3795035453149085,1,0,-1,0,1,1
0,-9.004531527442312,1,0.0998580679297447,0,0,1,0,26,-9.004531527442312,0,0,-3,0,5,0
0,-6.748368271299515,1,0.0,0,1,1,1,24,-6.433258038231307,0,0,-1,0,4,0
0,-8.285937681221203,0,0.0156010091304779,0,1,0,0,4,-5.975344537423814,0,0,-1,0,1,0
0,-6.794785443308052,0,0.0141455829143524,0,1,0,0,2,-7.146302413206516,0,1,-1,0,1,0
0,-6.794785443308052,0,-0.0776514858007431,0,1,1,0,3,-6.926379476592348,1,0,-1,0,1,0
0,-6.794785443308052,1,0.0113985240459442,0,1,0,0,3,-8.984122655811104,0,0,-1,1,0,0
0,-9.7506011094566,0,0.0,0,0,1,0,9,-8.588809919166959,0,1,-3,0,1,0
