matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,uid_amp,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-6.794785443308052,0,-0.053748071193695,0,1,0,1,1,-8.659261580117569,0,0,-1,0,1,1
0,-6.256071788002225,0,0.0,0,1,0,1,28,-10.583510232391705,0,0,-1,0,1,0
0,-7.146302413206516,1,0.0091421380639076,0,0,1,1,16,-5.975344537423814,0,0,-4,0,0,0
0,-6.256071788002225,0,-0.0740499719977378,0,1,0,1,1,-5.810286461407363,0,1,-1,0,1,0
0,-6.195253047967186,0,0.0622497200965881,0,1,0,1,1,-9.468368641772383,0,1,-1,0,1,1
0,-6.794785443308052,0,0.0198837518692016,0,1,0,1,7,-6.433258038231307,1,0,-1,0,1,0
0,-8.696440583359324,1,-0.0034583806991577,0,0,1,0,48,-5.3795035453149085,0,0,-3,0,5,0
0,-6.256071788002225,0,0.3372631669044494,0,1,0,1,20,-12.480630217277586,1,0,-1,0,1,0
0,-8.10697183227422,1,-0.0025586485862731,0,1,0,1,20,-10.806653783705913,0,0,-1,0,2,1
0,-6.794785443308052,1,0.0149385258555412,0,1,0,0,3,-7.623405136480864,0,0,-1,0,2,0
0,-8.473297032045114,1,-0.0029587987810373,0,0,1,1,3,-7.762131345982491,0,0,-3,1,2,0
0,-6.549269594239308,1,0.0159396491944789,0,0,0,1,4,-10.360366681077494,0,0,-7,0,0,0
0,-8.10697183227422,1,-0.000458369962871,0,1,0,1,9,-11.014293148484159,0,0,-1,0,2,0
0,-6.794785443308052,0,-0.037144660949707,0,1,0,0,1,-9.222533679256102,0,0,-1,0,1,0
0,-8.10697183227422,0,-0.018214713782072,0,0,0,0,1,-12.192948144825804,0,1,-3,0,1,0
0,-7.146302413206516,1,7.43865966796875e-05,0,0,1,1,3,-8.115410700920085,0,0,-6,0,3,0
0,-6.195253047967186,1,0.0039999485015869,0,0,1,0,12,-9.89036305183176,0,0,-3,0,0,0
0,-9.841572887662327,1,0.0,0,0,1,0,19,-11.78748303671764,0,0,-8,0,0,0
0,-6.195253047967186,1,-0.0001025795936584,0,1,1,0,2,-9.59025845938142,0,0,-1,0,2,0
0,-6.195253047967186,1,0.0,0,1,1,0,25,-11.094335856157695,0,0,1,0,0,0
0,-10.534720068222272,1,0.0,0,0,1,1,26,-10.583510232391705,0,0,-3,0,0,0
0,-6.195253047967186,1,0.0008697509765625,0,1,1,1,2,-8.467254717589151,0,0,-1,0,5,0
0,-9.38958776391927,1,-0.001187264919281,0,0,1,0,2,-6.573453486692192,0,0,-3,0,5,0
0,-8.348133889091107,1,0.0,0,0,1,1,7,-10.583510232391705,0,0,-5,0,0,0
0,-8.791750763163648,1,0.0043047070503234,0,0,1,1,13,-6.203360357730682,0,0,-6,0,0,0
0,-9.275177412741526,1,0.0,0,0,1,0,22,-11.78748303671764,0,0,-9,0,0,0
0,-9.729094904235636,0,-0.0790196061134338,0,0,1,0,6,-7.17566830801088,1,0,-3,0,1,0
0,-9.627998787364268,1,0.2769522070884704,0,0,1,0,20,-9.374549886554728,0,0,-4,0,0,0
0,-9.94165634621931,1,0.0,0,0,1,1,12,-9.316562628904379,0,0,-10,0,0,0
0,-6.256071788002225,1,0.0,0,0,1,1,12,-12.192948144825804,0,0,-5,0,0,0
0,-6.549269594239308,1,-0.0071341600269079,0,0,1,0,19,-9.420359422586023,0,0,-3,0,2,0
0,-8.944513517716059,1,-0.0898042321205139,0,0,1,0,6,-11.276657412951648,0,0,-9,0,0,0
0,-6.256071788002225,0,0.0,0,1,1,0,9,-6.255411939743378,0,1,-1,0,1,0
0,-6.324357695868357,1,0.0001288652420043,0,0,1,0,11,-9.38958776391927,0,0,-4,0,0,0
0,-6.794785443308052,1,-0.0021337792277336,0,0,1,1,6,-10.871192304843484,0,0,-11,0,0,0
0,-8.041908238927158,1,-0.0006652642041444,0,0,1,0,9,-7.786228897561551,0,0,-4,0,0,0
0,-7.623405136480864,1,-0.0030422210693359,0,1,1,0,5,-7.508504777943205,0,0,-1,0,0,0
0,-7.623405136480864,1,-0.1606664061546325,0,1,1,0,2,-12.480630217277586,0,0,-1,0,0,0
0,-6.794785443308052,1,0.0,0,0,1,1,30,-5.810286461407363,0,0,-4,0,0,0
0,-6.195253047967186,1,0.0189749374985694,0,1,1,0,5,-8.65198882078849,0,0,-1,0,2,0
0,-8.041908238927158,1,0.0,0,0,1,0,16,-8.87876214015328,0,0,-3,0,1,0
0,-8.65198882078849,1,0.0566356778144836,0,0,1,0,8,-11.78748303671764,0,0,-14,0,0,0
0,-9.275177412741526,1,-0.0306581258773803,0,0,1,1,8,-6.2064961395413665,0,0,-6,0,0,0
0,-7.623405136480864,1,-0.0039196833968162,0,0,0,1,14,-10.534720068222272,0,0,-3,0,8,1
0,-6.794785443308052,1,0.0192320495843887,0,0,0,1,1,-6.2064961395413665,0,0,-4,0,0,0
0,-6.195253047967186,1,-0.0724382400512695,0,0,1,0,13,-9.647416873221369,0,0,-5,0,0,0
0,-8.473297032045114,1,0.0,0,1,0,1,40,-6.518766139945893,0,0,2,0,0,0
0,-6.256071788002225,1,-0.0153329689055681,0,1,1,1,3,-6.518766139945893,0,0,2,0,0,0
0,-6.195253047967186,1,-0.0137552618980407,0,0,1,0,2,-12.480630217277586,0,0,-3,0,6,0
0,-7.623405136480864,0,-0.0074972510337829,0,1,0,1,18,-5.3795035453149085,1,0,-1,0,1,1
0,-9.004531527442312,1,-0.0001109838485717,0,0,1,0,26,-9.004531527442312,0,0,-3,0,5,0
0,-6.748368271299515,1,0.0072525739669799,0,1,1,1,24,-6.433258038231307,0,0,-1,0,4,0
0,-8.285937681221203,0,0.0361569374799728,0,1,0,0,4,-5.975344537423814,0,0,-1,0,1,0
0,-6.794785443308052,0,0.0150272250175476,0,1,0,0,2,-7.146302413206516,0,1,-1,0,1,0
0,-6.794785443308052,0,-0.0341889262199401,0,1,1,0,3,-6.926379476592348,1,0,-1,0,1,0
0,-6.794785443308052,1,0.0734254419803619,0,1,0,0,3,-8.984122655811104,0,0,-1,1,0,0
0,-9.7506011094566,0,0.0,0,0,1,0,9,-8.588809919166959,0,1,-3,0,1,0
0,-6.195253047967186,0,-0.0014160871505737,0,1,0,0,1,-8.27593759788662,0,0,-1,0,1,1
0,-6.195253047967186,1,0.0462808273732662,0,1,0,1,2,-11.499800964265859,0,0,-1,0,0,0
0,-6.195253047967186,0,0.014155339449644,0,1,0,0,2,-6.203360357730682,0,0,-1,0,1,1
0,-6.195253047967186,1,0.0002699494361877,0,1,0,1,33,-5.810286461407363,0,0,-1,0,2,0
0,-6.195253047967186,1,0.0,0,1,0,0,2,-12.192948144825804,0,0,-1,0,0,0
0,-8.473297032045114,0,-0.0503225326538085,0,1,0,0,1,-5.975344537423814,1,0,-1,0,1,0
0,-6.794785443308052,1,0.0301542282104492,0,1,0,0,1,-9.94165634621931,0,0,-1,0,0,0
0,-6.794785443308052,0,0.0120880603790283,0,1,0,0,5,-6.748368271299515,0,1,-1,0,1,0
0,-9.275177412741526,0,-0.0136112812906503,0,1,1,1,4,-9.275177412741526,0,1,-1,0,1,0
0,-8.10697183227422,0,0.0,0,1,1,1,6,-11.014293148484159,0,1,-1,0,1,0
0,-6.549269594239308,1,0.0,0,0,0,1,15,-12.480630217277586,0,0,-5,0,0,1
0,-8.944513517716059,1,0.1806096583604812,0,0,0,1,1,-12.480630217277586,0,0,-12,0,0,0
0,-6.256071788002225,0,-0.0120856743305921,0,1,0,1,7,-6.60476359492065,0,0,-1,0,1,0
0,-8.041908238927158,1,0.0309592112898826,0,1,0,0,4,-5.810286461407363,0,0,-1,0,5,0
0,-8.251366337156114,1,-0.0268397107720375,0,1,0,0,1,-5.3795035453149085,0,0,-1,0,3,0
0,-8.246523712680325,1,0.0,0,1,1,0,11,-8.090304779789008,0,0,-1,0,0,0
0,-9.07943283561543,0,0.0030497144907712,0,1,1,1,6,-11.276657412951648,0,1,-1,0,1,0
0,-8.10697183227422,0,0.0085596218705177,0,1,1,1,5,-8.232134975228226,0,0,-1,0,1,0
0,-6.256071788002225,1,0.0017774403095245,0,0,1,1,8,-12.88609532538575,0,0,-4,0,0,0
0,-6.256071788002225,0,-0.0071103163063526,0,0,1,1,14,-8.251366337156114,0,0,-3,0,1,0
0,-6.256071788002225,0,0.0005443096160888,0,0,1,1,27,-8.280925139397658,0,0,-3,0,1,0
0,-7.623405136480864,1,0.0,0,0,1,0,28,-9.288783064797304,0,0,-5,0,0,0
0,-6.195253047967186,0,0.0003140568733215,0,1,1,1,5,-8.595635884237359,0,1,-1,0,1,0
0,-6.195253047967186,1,-0.0019659474492073,0,1,1,0,9,-9.113334387291111,0,0,-1,0,4,0
0,-6.195253047967186,1,-0.0022580921649932,0,0,1,0,1,-10.68887074804953,0,0,-8,0,0,0
0,-9.627998787364268,1,-0.0005949977785348,0,0,1,0,4,-8.588809919166959,0,0,-14,0,0,0
0,-9.004531527442312,1,0.0,0,0,1,0,2,-11.499800964265859,0,0,-4,0,0,0
0,-9.968324593301471,1,0.0392611576244235,0,0,1,1,2,-10.746029161889478,0,0,-20,0,0,0
0,-9.841572887662327,1,0.0893328189849853,0,0,1,0,6,-5.810286461407363,0,0,-3,0,1,0
0,-8.65198882078849,1,0.0048002302646636,0,0,1,1,9,-10.40118867559775,0,0,-3,0,0,0
0,-9.729094904235636,0,0.0015461146831512,0,0,0,0,1,-5.3795035453149085,0,1,-3,0,1,1
0,-6.256071788002225,1,0.0431011319160461,0,1,0,0,1,-7.344831780227323,0,0,-1,0,3,1
0,-9.772580016175375,1,-0.0014935694634914,0,0,1,0,9,-10.534720068222272,0,0,-5,0,0,0
0,-11.014293148484159,1,-0.0057991743087768,0,0,1,0,6,-12.88609532538575,0,0,-3,0,0,0
0,-8.041908238927158,1,-0.0115425530821084,0,1,1,1,4,-9.113334387291111,0,0,-1,0,3,0
0,-8.27593759788662,1,0.0204588770866394,0,0,0,1,1,-5.3795035453149085,0,0,-3,0,2,0
0,-6.2064961395413665,1,0.0185414738953113,0,1,0,1,1,-9.667219500517549,0,0,-1,0,0,1
0,-6.256071788002225,0,-0.003028193488717,0,1,1,0,2,-5.3795035453149085,0,0,-1,0,1,0
0,-6.195253047967186,1,0.0,0,1,1,0,17,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,1,0.0003228746354579,0,1,1,0,15,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,0,-0.0475997626781463,0,1,0,0,1,-8.431748029132242,0,1,-1,0,1,1
0,-6.195253047967186,1,0.0,0,1,1,0,19,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,1,0.0004616919904947,0,1,0,1,11,-5.810286461407363,0,0,-1,0,7,1
0,-6.195253047967186,1,0.0144485235214233,0,0,1,1,13,-6.549269594239308,0,0,-4,0,0,0
0,-8.767058150573277,1,-0.0173585265874862,0,1,1,0,4,-10.360366681077494,0,0,5,1,0,0
0,-8.86971230463336,0,0.0,0,0,1,0,33,-5.3795035453149085,0,1,-3,0,1,0
0,-8.791750763163648,1,-0.0553230829536914,0,0,1,1,1,-12.192948144825804,0,0,-3,0,0,0
0,-9.841572887662327,1,0.0131428837776184,0,0,1,1,1,-6.433258038231307,0,0,-3,0,5,0
0,-6.324357695868357,1,-0.0109845791012048,0,0,1,1,5,-8.467254717589151,0,0,-10,0,0,0
0,-9.772580016175375,1,0.0280717015266418,0,0,1,1,6,-8.984122655811104,0,0,-3,0,2,0
0,-8.041908238927158,1,8.033215999603271e-05,0,0,1,0,10,-6.433258038231307,0,0,-4,0,0,0
0,-8.954269692661423,1,-0.0047720670700073,0,0,1,1,9,-6.748368271299515,0,0,-3,0,5,0
0,-9.07943283561543,1,0.001656973734498,0,0,1,1,10,-7.437205100358338,0,0,-23,0,0,0
0,-8.86971230463336,1,0.0,0,0,1,1,36,-6.433258038231307,0,0,-4,0,0,0
0,-6.794785443308052,1,0.0048701763153076,0,0,1,0,30,-8.232134975228226,0,0,-3,0,2,0
0,-9.07943283561543,1,-0.0134804844856262,0,0,1,1,17,-8.87876214015328,0,0,-4,0,0,0
0,-8.767058150573277,1,-4.845857620239258e-05,0,0,1,1,15,-5.3795035453149085,0,0,-3,0,2,0
0,-5.3795035453149085,1,2.9027462005615234e-05,0,1,1,1,29,-12.88609532538575,0,0,-1,0,4,0
0,-10.023894444456282,1,-0.0047029517590999,0,0,0,1,4,-8.3752358188689,0,0,-3,0,7,1
0,-8.767058150573277,1,-0.1013470571488142,0,0,1,0,14,-9.865670439241386,0,0,-40,0,0,0
0,-6.324357695868357,1,0.005700197070837,0,0,0,0,8,-8.87876214015328,0,0,-21,0,0,1
0,-6.324357695868357,1,0.0,0,0,0,0,8,-8.227384372469627,0,0,-3,0,2,1
0,-6.855410065124486,1,0.0411196947097778,0,0,0,0,35,-12.480630217277586,0,0,-5,0,0,1
0,-6.324357695868357,1,0.0962259238585829,0,0,0,1,1,-12.88609532538575,0,0,-6,0,0,1
0,-9.374549886554728,1,0.0009132083505392,0,0,0,1,1,-11.014293148484159,0,0,-3,0,2,1
0,-8.954269692661423,1,0.000441676005721,0,0,0,1,26,-12.480630217277586,0,0,-5,0,0,1
0,-10.871192304843484,1,-0.0012907516211271,0,0,1,1,28,-5.810286461407363,0,0,-3,0,2,0
0,-6.324357695868357,1,0.0043311528861522,0,0,1,0,2,-9.288783064797304,0,0,-2,0,0,0
0,-6.855410065124486,1,0.0004106387495994,0,0,0,0,7,-8.467254717589151,0,0,-3,0,7,1
0,-8.609429206369693,1,0.0065586175769567,0,0,0,1,1,-10.634803526779255,0,0,-16,0,0,1
0,-6.855410065124486,1,0.0012154579162597,0,0,1,0,11,-9.468368641772383,0,0,-3,0,1,0
0,-8.041908238927158,1,0.0923123359680175,0,0,1,1,13,-8.727212242026077,0,0,-6,0,0,0
0,-6.195253047967186,1,0.0432756356894969,0,0,0,0,5,-6.195253047967186,0,0,-8,0,0,1
0,-9.865670439241386,1,0.01056794449687,0,0,1,1,17,-7.744431768883089,0,0,-3,0,3,0
0,-7.829849520037441,1,0.0,0,0,1,0,21,-11.969804593511594,0,0,-4,0,0,0
0,-8.673967727507264,1,0.0,0,0,1,1,6,-10.360366681077494,0,0,-6,0,0,0
0,-6.748368271299515,1,2.5510787963867188e-05,0,0,1,1,19,-11.78748303671764,0,0,-11,0,0,0
0,-7.623405136480864,1,-0.0174679160118103,0,0,0,0,19,-12.88609532538575,0,0,-4,0,0,1
0,-6.324357695868357,1,0.012808671221137,0,0,1,1,2,-8.727212242026077,0,0,-11,0,0,0
0,-10.023894444456282,1,0.0046771485358476,0,0,0,1,3,-10.806653783705913,0,0,-3,0,0,1
0,-6.324357695868357,1,0.0177855491638183,0,0,1,1,2,-9.302576386929639,0,0,-4,0,0,0
0,-8.767058150573277,1,0.0006290078163146,0,0,1,1,7,-8.758960940340657,0,0,-3,0,2,0
0,-8.246523712680325,1,0.0084211565554142,0,0,1,0,5,-9.316562628904379,0,0,-3,0,12,0
0,-8.767058150573277,1,0.0,0,0,1,0,32,-6.573453486692192,0,0,-3,0,0,0
0,-8.767058150573277,1,0.0,0,0,1,0,21,-9.23543708409201,0,0,-3,0,2,0
0,-8.767058150573277,1,0.0213656136766076,0,0,0,1,1,-10.178045124283539,0,0,-6,0,0,1
0,-8.767058150573277,1,0.0022141737863421,0,0,0,1,1,-8.688893377723941,0,0,-4,0,0,1
0,-6.324357695868357,1,-0.0017861910164356,0,0,1,1,36,-11.181347233147324,0,0,-4,0,0,0
0,-7.623405136480864,1,0.0,0,0,1,0,5,-5.3795035453149085,0,0,-3,0,2,0
0,-9.772580016175375,1,0.0010796785354614,0,0,0,1,1,-11.014293148484159,0,0,-11,0,0,1
0,-8.609429206369693,1,-0.0033860728144645,0,0,0,1,3,-8.588809919166959,0,0,-9,0,0,1
0,-6.195253047967186,1,0.0049094948917627,0,0,1,0,5,-8.348133889091107,0,0,-8,0,0,0
0,-9.222533679256102,1,0.0091162417083978,0,0,1,1,12,-12.480630217277586,0,0,-7,0,0,0
0,-9.07943283561543,1,0.0438363552093505,0,0,1,1,20,-11.094335856157695,0,0,-13,0,0,0
0,-10.940185176330436,1,-0.0178864896297454,0,0,1,1,1,-10.488200052587379,0,0,-3,0,3,0
0,-7.829849520037441,1,-0.0004299879074096,0,0,1,0,30,-5.3795035453149085,0,0,-3,0,3,0
0,-9.89036305183176,1,0.0017476417124271,0,0,1,1,14,-9.795052872027433,0,0,-9,0,0,0
0,-8.767058150573277,1,0.0144926467910408,0,0,1,1,53,-8.87876214015328,0,0,-5,0,0,0
0,-8.767058150573277,1,-2.7418136596679688e-06,0,0,1,0,7,-12.88609532538575,0,0,-8,0,0,0
0,-8.954269692661423,1,0.0031241923570632,0,0,1,1,18,-6.855410065124486,0,0,-3,0,1,0
0,-10.283405639941366,1,0.0008966922760009,0,0,0,1,1,-9.436107779554161,0,0,-5,0,0,1
0,-6.256071788002225,0,0.0017867032438516,0,0,1,0,10,-5.3795035453149085,0,1,-4,0,1,0
0,-9.468368641772383,0,-0.0014688502997159,0,0,1,0,3,-7.762131345982491,0,1,-3,0,1,0
0,-6.855410065124486,0,-0.0084564145654439,0,1,1,1,3,-9.014894314477859,0,1,-1,0,1,0
0,-6.794785443308052,0,0.0002334900200366,0,0,1,1,15,-6.60476359492065,0,0,-18,0,1,0
0,-9.667219500517549,1,0.0,0,0,1,1,18,-7.508504777943205,0,0,-5,0,0,0
0,-6.748368271299515,1,-0.0001137852668762,0,0,1,0,27,-11.969804593511594,0,0,-7,0,0,0
0,-9.627998787364268,1,-0.008000373840332,0,0,1,0,8,-8.609429206369693,0,0,-4,0,0,0
0,-7.829849520037441,1,0.0009693261235952,0,1,1,1,2,-10.178045124283539,0,0,-1,0,1,0
0,-6.549269594239308,1,-0.0017662048339843,0,1,1,1,22,-11.78748303671764,0,0,-1,0,1,0
0,-6.549269594239308,1,7.510185241699219e-06,0,1,1,0,13,-9.729094904235636,0,0,7,0,0,0
0,-6.794785443308052,1,-0.0106054544448852,0,1,1,0,12,-5.810286461407363,0,0,-1,0,2,0
1,-6.195253047967186,0,-0.0054850578308105,0,1,0,1,1,-6.2064961395413665,0,1,-1,0,1,0
0,-6.195253047967186,1,0.0,0,0,1,1,3,-8.623415448344433,0,0,-5,0,0,0
0,-8.516647472918727,0,-0.1454095244407653,0,1,0,0,1,-6.8422755479438395,0,1,-1,0,1,0
0,-6.794785443308052,1,-0.0561648607254028,0,0,1,1,3,-10.283405639941366,0,0,-4,0,0,0
0,-6.195253047967186,1,-0.0022065341472625,0,1,1,0,15,-7.45455911505149,0,0,-1,0,0,0
0,-9.94165634621931,1,0.0122405886650085,0,0,1,0,8,-7.829849520037441,0,0,-9,0,0,0
0,-6.195253047967186,0,0.0,0,1,1,1,6,-5.3795035453149085,0,1,-1,0,1,0
0,-9.553890815210545,1,0.004418134689331,0,0,1,0,10,-5.3795035453149085,0,0,-3,0,1,0
0,-9.553890815210545,1,-0.006551694124937,0,0,1,0,14,-10.052881981329532,0,0,-6,0,0,0
0,-8.251366337156114,1,0.0030029416084289,0,1,1,1,3,-5.3795035453149085,0,0,-1,0,4,0
0,-6.794785443308052,1,0.0008470229804515,0,0,0,1,3,-9.184793351273257,0,0,-17,0,0,0
0,-7.146302413206516,1,-0.00881864503026,0,0,0,0,3,-11.633332356890381,0,0,-6,0,0,1
0,-6.195253047967186,1,0.0275368690490722,0,1,0,1,3,-6.926379476592348,0,0,-1,0,0,0
0,-6.195253047967186,0,0.0306838154792785,0,1,1,0,2,-6.801595912310578,0,1,-1,0,1,0
0,-6.195253047967186,1,0.0757306218147277,0,0,0,1,16,-5.810286461407363,0,0,-4,0,2,1
0,-6.256071788002225,1,0.0051854252815246,0,1,1,1,2,-7.437205100358338,0,0,3,0,0,0
0,-8.10697183227422,1,0.0734933316707611,0,1,1,1,4,-9.330747263896336,0,0,-1,0,1,0
0,-8.041908238927158,1,0.0038001146167516,0,0,0,0,22,-7.146302413206516,0,0,-4,0,0,1
0,-9.275177412741526,1,0.010786835104227,0,0,1,1,12,-10.40118867559775,0,0,-3,0,0,0
0,-6.549269594239308,1,0.0130620598793029,0,1,1,0,6,-8.194747443156606,0,0,-1,0,2,0
0,-6.256071788002225,1,-0.0021394044160842,0,0,0,1,4,-8.616397875685788,0,0,-4,0,0,1
0,-8.285937681221203,1,-0.0368366241455078,0,1,0,1,1,-7.437205100358338,0,0,-1,0,0,1
0,-8.251366337156114,1,0.0,0,1,1,1,13,-11.499800964265859,0,0,-1,0,0,0
0,-9.59025845938142,1,0.0450770324096083,0,0,1,1,4,-8.964121989104436,0,0,-3,0,3,0
0,-8.285937681221203,0,-0.0010642260313034,0,0,0,0,2,-8.261122512101478,0,1,-3,0,1,1
0,-7.437205100358338,1,0.1192340850830078,0,0,0,1,1,-11.276657412951648,0,0,-4,0,0,1
0,-9.94165634621931,1,0.0,0,0,0,0,3,-11.499800964265859,0,0,-4,0,0,1
0,-6.195253047967186,0,0.0078873988240957,0,1,0,0,22,-6.60476359492065,0,1,-1,0,1,0
1,-6.195253047967186,1,-0.0009037274867296,0,1,0,1,14,-12.88609532538575,0,0,-1,0,0,0
0,-7.146302413206516,1,0.0073688030242919,0,0,0,0,19,-6.433258038231307,0,0,-4,0,0,0
0,-8.285937681221203,0,0.016854390501976,0,1,1,1,0,-5.3795035453149085,0,1,-1,0,1,0
0,-6.256071788002225,1,-0.0039090383797883,0,0,0,1,1,-6.73549255693947,0,0,-5,0,0,1
0,-8.10697183227422,0,-0.035271406173706,0,1,1,0,23,-10.082734944479215,0,1,-1,0,1,0
0,-6.256071788002225,1,-0.0039704740047454,0,0,1,0,0,-7.524803159676324,0,0,-4,0,0,0
0,-6.549269594239308,1,0.0024287290871143,0,1,1,1,1,-8.090304779789008,0,0,-1,0,2,0
0,-6.549269594239308,1,0.0,0,0,0,1,32,-5.3795035453149085,0,0,-3,0,2,0
0,-6.256071788002225,1,0.004590768367052,0,0,1,0,1,-6.73549255693947,0,0,-10,0,0,0
0,-6.549269594239308,1,0.0444199070334434,0,1,1,0,13,-11.633332356890381,0,0,-1,0,15,0
0,-6.549269594239308,1,-0.0063876658678054,0,0,0,1,15,-11.969804593511594,0,0,-5,0,0,0
0,-6.549269594239308,1,0.0052807936444878,0,0,0,0,3,-12.88609532538575,0,0,-6,0,0,0
0,-6.256071788002225,1,0.0,0,1,1,0,11,-11.276657412951648,0,0,-1,0,0,0
0,-6.324357695868357,1,0.0177282113581895,0,0,1,0,21,-9.261754392409385,0,0,-5,0,0,0
0,-6.195253047967186,0,-0.053417501039803,0,1,1,0,3,-7.62599917165791,1,0,-1,0,1,0
0,-6.794785443308052,1,0.0105744004249572,0,1,0,1,2,-8.58203023218158,0,0,-1,0,1,0
0,-6.195253047967186,0,0.0,0,1,1,1,3,-10.634803526779255,0,0,-1,0,1,0
0,-6.195253047967186,1,-0.0376330353319644,0,0,1,1,3,-6.2064961395413665,0,0,-3,0,11,0
0,-7.146302413206516,1,0.0,0,0,1,1,5,-10.283405639941366,0,0,-4,0,0,0
0,-9.468368641772383,0,0.1176237426698207,0,0,0,1,1,-9.995723567489584,0,0,-3,0,2,0
0,-8.473297032045114,1,-0.0170945189893245,0,0,1,0,5,-7.98082054694732,0,0,-3,0,2,0
0,-6.256071788002225,0,-0.0056503340601921,0,0,0,1,1,-6.751613271442842,0,1,-3,0,1,1
0,-6.794785443308052,0,-0.0651269257068634,0,0,0,0,1,-10.40118867559775,0,1,-3,0,1,1
0,-6.549269594239308,1,0.039720045402646,0,1,1,0,4,-7.768101512968994,0,0,-1,0,2,0
0,-8.516647472918727,0,0.0,0,1,0,1,8,-8.609429206369693,0,1,-1,0,1,0
0,-10.940185176330436,1,-2.9046088457107544e-05,0,0,0,0,6,-9.7506011094566,0,0,-3,0,0,0
0,-6.794785443308052,0,-0.0008955895900726,0,1,0,0,2,-6.801595912310578,0,0,-1,0,1,0
0,-6.855410065124486,1,0.0048992112278938,0,0,0,0,31,-10.940185176330436,0,0,-6,0,0,0
0,-6.324357695868357,1,0.0008068997412919,0,0,1,0,14,-7.768101512968994,0,0,-7,0,0,0
0,-9.275177412741526,1,0.0,0,0,0,0,12,-12.88609532538575,0,0,-4,0,0,0
0,-6.549269594239308,1,-0.0006235614418983,0,1,1,0,14,-5.975344537423814,0,0,-1,0,7,0
0,-6.549269594239308,1,0.0257593784481287,0,1,1,1,2,-11.969804593511594,0,0,-1,0,7,0
0,-9.222533679256102,0,0.0,0,1,1,0,14,-5.810286461407363,0,1,-1,0,1,0
0,-6.195253047967186,1,0.0123809222131967,0,1,0,1,1,-6.73549255693947,0,0,-1,0,3,1
0,-9.136591249455378,1,0.0723310708999633,0,0,0,0,7,-10.634803526779255,0,0,-6,0,0,0
0,-8.767058150573277,1,-0.0032485127449035,0,0,0,1,14,-12.192948144825804,0,0,-2,0,0,1
0,-6.549269594239308,1,0.0,0,1,1,0,31,-6.255411939743378,0,0,-1,0,2,0
0,-7.437205100358338,0,-0.0148843526840209,0,1,0,1,2,-9.288783064797304,0,1,-1,0,1,0
0,-7.437205100358338,1,0.029853343963623,0,1,0,1,1,-11.499800964265859,0,0,-1,0,2,0
