matrix_subject1v2,matrix_subject1v3,matrix_subject1v4,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,subject_form_CC_subject1v4,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that_omission,uid,genre
0,0,1,-6.311892612530234,0,-10.007002616394807,0,0,1,12,0,0,-3,0,1.5146925448447344,0
0,0,1,-6.311892612530234,0,-11.904122601280688,0,0,1,16,0,0,-4,1,1.5146925448447344,0
0,0,1,-9.958212452225375,0,-6.31999992229373,0,0,1,12,0,0,-2,1,3.044522437723423,0
0,0,1,-6.311892612530234,0,-10.169521545892582,0,0,1,4,0,0,-1,1,1.5146925448447344,0
0,0,1,-9.958212452225375,0,-11.904122601280688,0,0,1,19,0,0,-8,0,3.044522437723423,1
0,1,0,-6.311892612530234,0,-11.393296977514698,0,0,1,1,0,0,-1,1,1.5146925448447344,1
0,0,1,-6.311892612530234,0,-9.706898023944468,0,0,1,2,0,2,-1,1,1.5146925448447344,0
0,0,1,-6.311892612530234,0,-11.210975420720743,0,0,1,25,0,0,1,1,1.5146925448447344,1
0,0,1,-6.311892612530234,0,-12.086444158074643,0,0,1,2,0,0,-2,1,1.5146925448447344,1
0,1,0,-6.311892612530234,0,-10.199374509042263,0,0,0,45,0,1,45,1,1.5146925448447344,0
0,0,0,-10.199374509042263,0,-6.372051504306426,0,0,1,2,0,0,-2,1,2.803360380906535,0
0,0,1,-10.65135963278532,0,-10.700149796954753,0,0,1,26,0,0,-3,0,3.044522437723423,0
0,0,1,-6.311892612530234,0,-8.5838942821522,0,0,1,2,0,5,-1,1,1.5146925448447344,1
0,0,1,-9.506227328482318,0,-6.69009305125524,0,0,1,2,0,5,-3,0,2.243744592971112,0
0,0,1,-6.311892612530234,0,-8.21524314716675,0,0,1,2,0,0,-1,1,1.5146925448447344,1
0,1,0,-6.311892612530234,0,-10.805510312612578,0,0,1,1,0,0,-1,1,1.5146925448447344,1
0,0,1,-6.311892612530234,0,-6.31999992229373,0,0,1,70,0,0,-2,1,1.5146925448447344,1
0,0,1,-6.665909158802357,0,-11.904122601280688,0,0,1,50,0,0,-1,1,2.767293034665071,1
0,0,1,-8.464773453654157,0,-10.700149796954753,0,0,1,7,0,0,-5,0,3.2851984677992734,1
0,0,1,-6.311892612530234,0,-10.923293348268961,0,0,1,1,0,0,-1,1,1.5146925448447344,1
0,0,1,-6.311892612530234,0,-12.309587709388852,0,0,1,2,0,0,-1,1,1.5146925448447344,0
0,1,0,-6.311892612530234,0,-12.309587709388852,0,1,0,30,0,1,30,1,1.5146925448447344,1
0,0,1,-6.311892612530234,0,-7.043019041155396,0,0,1,9,0,0,-1,1,1.5146925448447344,0
0,1,0,-6.311892612530234,0,-11.210975420720743,0,0,1,1,0,0,-1,1,1.5146925448447344,1
0,0,1,-8.908390327726696,0,-5.926926025970411,0,0,1,5,0,7,-1,1,1.455287232606842,0
0,0,1,-6.311892612530234,0,-6.31999992229373,0,0,1,57,0,0,-1,1,1.5146925448447344,1
0,0,1,-8.908390327726696,0,-6.31999992229373,0,0,1,13,0,0,-6,0,1.455287232606842,1
0,0,1,-6.311892612530234,0,-10.604839617150427,0,0,1,16,0,0,1,1,1.5146925448447344,0
0,0,1,-9.391816977304574,0,-11.904122601280688,0,0,1,22,0,0,-9,0,2.512305623976115,0
0,0,1,-9.845734468798684,0,-7.292307872573928,1,0,0,6,0,1,-3,0,3.1570004211501135,1
0,0,1,-9.744638351927316,0,-9.491189451117776,0,0,1,20,0,0,-4,0,3.258096538021482,0
