matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,uid_iphrase,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-7.610534945960329,0,0,0,1,1,2,-0.0400682756329303,-11.78748303671764,0,1,-3,0,1,0
0,-8.041908238927158,0,0,0,0,0,12,0.008003774405965,-6.801595912310578,0,1,-3,0,1,0
0,-8.041908238927158,1,0,0,0,1,2,0.0016185919309712,-6.255411939743378,0,0,-4,0,0,0
0,-8.688893377723941,1,0,0,1,1,22,-0.0411164569528423,-8.232134975228226,0,0,-4,0,0,0
0,-8.041908238927158,1,0,0,0,1,9,-0.0313049811173825,-6.433258038231307,0,0,-5,0,0,1
0,-8.588809919166959,1,0,1,1,1,4,-0.05939367005046,-9.571909320713225,0,0,-1,0,0,0
0,-6.195253047967186,1,0,0,1,1,8,0.2025474014290338,-10.806653783705913,0,0,-29,0,0,0
0,-7.747360028662178,1,0,0,1,0,10,0.0517049368902824,-11.382017928609475,0,0,-3,0,0,0
0,-7.146302413206516,1,0,0,1,0,2,-0.0160562356142102,-11.78748303671764,0,0,-24,0,0,0
0,-6.324357695868357,1,0,0,1,0,17,-0.0022283119262393,-13.579242505945695,0,0,-3,0,0,0
0,-8.041908238927158,1,0,1,1,0,6,-0.0745932735598239,-5.810286461407363,0,0,-1,0,6,0
0,-8.767058150573277,1,0,0,1,0,5,0.0849656478143655,-12.192948144825804,0,0,-14,0,0,0
0,-9.07943283561543,1,0,0,1,1,1,-0.178691104383153,-8.246523712680325,0,0,-5,0,0,0
0,-8.767058150573277,0,0,0,1,1,13,0.0233571120952608,-8.467254717589151,1,0,-3,0,1,0
0,-10.023894444456282,1,0,0,1,1,25,-0.1443751533802312,-6.801595912310578,0,0,-3,0,11,0
0,-7.437205100358338,1,0,1,0,1,15,0.0134860443201286,-6.801595912310578,0,0,-1,0,1,1
0,-8.791750763163648,1,0,0,1,1,32,-0.0500139031285217,-8.41445653202218,0,0,-3,0,10,0
0,-7.762131345982491,0,0,1,1,1,2,-0.1544315435335624,-5.3795035453149085,0,1,-1,0,1,0
0,-6.794785443308052,0,0,1,1,0,4,0.0286533154660101,-8.659261580117569,0,0,-1,0,1,0
0,-6.794785443308052,0,0,1,0,1,1,-0.0946492541581392,-8.659261580117569,0,0,-1,0,1,1
0,-6.256071788002225,0,0,1,0,1,28,0.0066856363099538,-10.583510232391705,0,0,-1,0,1,0
0,-7.146302413206516,1,0,0,1,1,16,-0.0003880816635986,-5.975344537423814,0,0,-4,0,0,0
0,-6.256071788002225,0,0,1,0,1,1,0.0037016197152081,-5.810286461407363,0,1,-1,0,1,0
0,-6.195253047967186,0,0,1,0,1,1,0.1044506545755125,-9.468368641772383,0,1,-1,0,1,1
0,-6.794785443308052,0,0,1,0,1,7,0.1125127903744578,-6.433258038231307,1,0,-1,0,1,0
0,-8.696440583359324,1,0,0,1,0,48,-0.0001238897532122,-5.3795035453149085,0,0,-3,0,5,0
0,-6.256071788002225,0,0,1,0,1,20,-0.123537177392454,-12.480630217277586,1,0,-1,0,1,0
0,-8.10697183227422,1,0,1,0,1,20,-0.1022576344441855,-10.806653783705913,0,0,-1,0,2,1
0,-6.794785443308052,1,0,1,0,0,3,0.1081546684937515,-7.623405136480864,0,0,-1,0,2,0
0,-8.473297032045114,1,0,0,1,1,3,-0.0033041538138474,-7.762131345982491,0,0,-3,1,2,0
0,-6.549269594239308,1,0,0,0,1,4,0.007294234870052,-10.360366681077494,0,0,-7,0,0,0
0,-8.10697183227422,1,0,1,0,1,9,-0.0248457405280265,-11.014293148484159,0,0,-1,0,2,0
0,-6.794785443308052,0,0,1,0,0,1,-0.0452317663125301,-9.222533679256102,0,0,-1,0,1,0
0,-8.10697183227422,0,0,0,0,0,1,0.0894276566447361,-12.192948144825804,0,1,-3,0,1,0
0,-7.146302413206516,1,0,0,1,1,3,0.1036683729746947,-8.115410700920085,0,0,-6,0,3,0
0,-6.195253047967186,1,0,0,1,0,12,-0.1126730295985211,-9.89036305183176,0,0,-3,0,0,0
0,-9.841572887662327,1,0,0,1,0,19,0.1538723561219916,-11.78748303671764,0,0,-8,0,0,0
0,-6.195253047967186,1,0,1,1,0,2,-0.0065993969085218,-9.59025845938142,0,0,-1,0,2,0
0,-6.195253047967186,1,0,1,1,0,25,-0.0474411309378988,-11.094335856157695,0,0,1,0,0,0
0,-10.534720068222272,1,0,0,1,1,26,-0.0119323333104451,-10.583510232391705,0,0,-3,0,0,0
0,-6.195253047967186,1,0,1,1,1,2,0.2081438947136381,-8.467254717589151,0,0,-1,0,5,0
0,-9.38958776391927,1,0,0,1,0,2,0.0828131800717009,-6.573453486692192,0,0,-3,0,5,0
0,-8.348133889091107,1,0,0,1,1,7,-0.012672521700486,-10.583510232391705,0,0,-5,0,0,0
0,-8.791750763163648,1,0,0,1,1,13,-0.0135421216370545,-6.203360357730682,0,0,-6,0,0,0
0,-9.275177412741526,1,0,0,1,0,22,-0.0183992045539945,-11.78748303671764,0,0,-9,0,0,0
0,-9.729094904235636,0,0,0,1,0,6,-0.0189908781762837,-7.17566830801088,1,0,-3,0,1,0
0,-9.627998787364268,1,0,0,1,0,20,0.2613929665459348,-9.374549886554728,0,0,-4,0,0,0
0,-9.94165634621931,1,0,0,1,1,12,-0.0161631584974626,-9.316562628904379,0,0,-10,0,0,0
0,-6.256071788002225,1,0,0,1,1,12,0.0543738632241175,-12.192948144825804,0,0,-5,0,0,0
0,-6.549269594239308,1,0,0,1,0,19,-0.0102606134799619,-9.420359422586023,0,0,-3,0,2,0
0,-8.944513517716059,1,0,0,1,0,6,-0.2028643327515596,-11.276657412951648,0,0,-9,0,0,0
0,-6.256071788002225,0,0,1,1,0,9,-0.0824452603026192,-6.255411939743378,0,1,-1,0,1,0
0,-6.324357695868357,1,0,0,1,0,11,-0.090381232336358,-9.38958776391927,0,0,-4,0,0,0
0,-6.794785443308052,1,0,0,1,1,6,0.0071807527388243,-10.871192304843484,0,0,-11,0,0,0
0,-8.041908238927158,1,0,0,1,0,9,-0.0465673873827145,-7.786228897561551,0,0,-4,0,0,0
0,-7.623405136480864,1,0,1,1,0,5,0.0291363418429762,-7.508504777943205,0,0,-1,0,0,0
0,-7.623405136480864,1,0,1,1,0,2,-0.0178172982608278,-12.480630217277586,0,0,-1,0,0,0
0,-6.794785443308052,1,0,0,1,1,30,0.0052220280090021,-5.810286461407363,0,0,-4,0,0,0
0,-6.195253047967186,1,0,1,1,0,5,0.1146722786069389,-8.65198882078849,0,0,-1,0,2,0
0,-8.041908238927158,1,0,0,1,0,16,0.1170408584020968,-8.87876214015328,0,0,-3,0,1,0
0,-8.65198882078849,1,0,0,1,0,8,0.0127610358620892,-11.78748303671764,0,0,-14,0,0,0
0,-9.275177412741526,1,0,0,1,1,8,-0.1360947784535139,-6.2064961395413665,0,0,-6,0,0,0
0,-7.623405136480864,1,0,0,0,1,14,0.028740755346668,-10.534720068222272,0,0,-3,0,8,1
0,-6.794785443308052,1,0,0,0,1,1,-0.0051948213710998,-6.2064961395413665,0,0,-4,0,0,0
0,-6.195253047967186,1,0,0,1,0,13,0.0280707836261994,-9.647416873221369,0,0,-5,0,0,0
0,-8.473297032045114,1,0,1,0,1,40,0.0086989227963649,-6.518766139945893,0,0,2,0,0,0
0,-6.256071788002225,1,0,1,1,1,3,-0.0912670247630663,-6.518766139945893,0,0,2,0,0,0
0,-6.195253047967186,1,0,0,1,0,2,0.0741594264712735,-12.480630217277586,0,0,-3,0,6,0
0,-7.623405136480864,0,0,1,0,1,18,-0.2856910993596391,-5.3795035453149085,1,0,-1,0,1,1
0,-9.004531527442312,1,0,0,1,0,26,0.1127400918910069,-9.004531527442312,0,0,-3,0,5,0
0,-6.748368271299515,1,0,1,1,1,24,-0.110216559955264,-6.433258038231307,0,0,-1,0,4,0
0,-8.285937681221203,0,0,1,0,0,4,-0.0813077872868998,-5.975344537423814,0,0,-1,0,1,0
0,-6.794785443308052,0,0,1,0,0,2,-0.0475243751757911,-7.146302413206516,0,1,-1,0,1,0
0,-6.794785443308052,0,0,1,1,0,3,0.057007178097789,-6.926379476592348,1,0,-1,0,1,0
0,-6.794785443308052,1,0,1,0,0,3,0.0730184094891661,-8.984122655811104,0,0,-1,1,0,0
0,-9.7506011094566,0,0,0,1,0,9,-0.0329308067693522,-8.588809919166959,0,1,-3,0,1,0
0,-6.195253047967186,0,0,1,0,0,1,0.0154684291778023,-8.27593759788662,0,0,-1,0,1,1
0,-6.195253047967186,1,0,1,0,1,2,0.0378152381983541,-11.499800964265859,0,0,-1,0,0,0
0,-6.195253047967186,0,0,1,0,0,2,0.0318048706632994,-6.203360357730682,0,0,-1,0,1,1
0,-6.195253047967186,1,0,1,0,1,33,0.0486895382446141,-5.810286461407363,0,0,-1,0,2,0
0,-6.195253047967186,1,0,1,0,0,2,-0.0091945705088702,-12.192948144825804,0,0,-1,0,0,0
0,-8.473297032045114,0,0,1,0,0,1,-0.0505399796446519,-5.975344537423814,1,0,-1,0,1,0
0,-6.794785443308052,1,0,1,0,0,1,-0.0237132789101451,-9.94165634621931,0,0,-1,0,0,0
0,-6.794785443308052,0,0,1,0,0,5,0.065332286665216,-6.748368271299515,0,1,-1,0,1,0
0,-9.275177412741526,0,0,1,1,1,4,0.0721786298789083,-9.275177412741526,0,1,-1,0,1,0
0,-8.10697183227422,0,0,1,1,1,6,-0.0319766347320416,-11.014293148484159,0,1,-1,0,1,0
0,-6.549269594239308,1,0,0,0,1,15,-0.1014934160841116,-12.480630217277586,0,0,-5,0,0,1
0,-8.944513517716059,1,0,0,0,1,1,0.0119845330892574,-12.480630217277586,0,0,-12,0,0,0
0,-6.256071788002225,0,0,1,0,1,7,-0.1120561962632032,-6.60476359492065,0,0,-1,0,1,0
0,-8.041908238927158,1,0,1,0,0,4,-0.0479371609923603,-5.810286461407363,0,0,-1,0,5,0
0,-8.251366337156114,1,0,1,0,0,1,0.0014875258008638,-5.3795035453149085,0,0,-1,0,3,0
0,-8.246523712680325,1,0,1,1,0,11,-0.1780006861020076,-8.090304779789008,0,0,-1,0,0,0
0,-9.07943283561543,0,0,1,1,1,6,-0.02688483924738,-11.276657412951648,0,1,-1,0,1,0
0,-8.10697183227422,0,0,1,1,1,5,-0.1587617057097422,-8.232134975228226,0,0,-1,0,1,0
0,-6.256071788002225,1,0,0,1,1,8,-0.031859437860423,-12.88609532538575,0,0,-4,0,0,0
0,-6.256071788002225,0,0,0,1,1,14,0.1206829586226229,-8.251366337156114,0,0,-3,0,1,0
0,-6.256071788002225,0,0,0,1,1,27,-0.08475269367448,-8.280925139397658,0,0,-3,0,1,0
0,-7.623405136480864,1,0,0,1,0,28,0.1019362580623816,-9.288783064797304,0,0,-5,0,0,0
0,-6.195253047967186,0,0,1,1,1,5,0.0533477203818956,-8.595635884237359,0,1,-1,0,1,0
0,-6.195253047967186,1,0,1,1,0,9,-0.0659349664685226,-9.113334387291111,0,0,-1,0,4,0
0,-6.195253047967186,1,0,0,1,0,1,0.0935289162060049,-10.68887074804953,0,0,-8,0,0,0
0,-9.627998787364268,1,0,0,1,0,4,0.1087854874040931,-8.588809919166959,0,0,-14,0,0,0
0,-9.004531527442312,1,0,0,1,0,2,-0.0571669243962356,-11.499800964265859,0,0,-4,0,0,0
0,-9.968324593301471,1,0,0,1,1,2,0.0216956726508215,-10.746029161889478,0,0,-20,0,0,0
0,-9.841572887662327,1,0,0,1,0,6,-0.0509471557212664,-5.810286461407363,0,0,-3,0,1,0
0,-8.65198882078849,1,0,0,1,1,9,-0.0751370186836358,-10.40118867559775,0,0,-3,0,0,0
0,-9.729094904235636,0,0,0,0,0,1,0.1344038884016289,-5.3795035453149085,0,1,-3,0,1,1
0,-6.256071788002225,1,0,1,0,0,1,0.0402622253500989,-7.344831780227323,0,0,-1,0,3,1
0,-9.772580016175375,1,0,0,1,0,9,0.0231475266314223,-10.534720068222272,0,0,-5,0,0,0
0,-11.014293148484159,1,0,0,1,0,6,-0.1752146302589348,-12.88609532538575,0,0,-3,0,0,0
0,-8.041908238927158,1,0,1,1,1,4,0.0083824385267992,-9.113334387291111,0,0,-1,0,3,0
0,-8.27593759788662,1,0,0,0,1,1,0.0221654381144222,-5.3795035453149085,0,0,-3,0,2,0
0,-6.2064961395413665,1,0,1,0,1,1,-0.0511424087370053,-9.667219500517549,0,0,-1,0,0,1
0,-6.256071788002225,0,0,1,1,0,2,0.06460883016721,-5.3795035453149085,0,0,-1,0,1,0
0,-6.195253047967186,1,0,1,1,0,17,0.0850737221361625,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,1,0,1,1,0,15,0.0080019847278005,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,0,0,1,0,0,1,0.0393992544575171,-8.431748029132242,0,1,-1,0,1,1
0,-6.195253047967186,1,0,1,1,0,19,-0.1046517751303561,-11.382017928609475,0,0,-1,0,0,0
0,-6.195253047967186,1,0,1,0,1,11,-0.0332567868202099,-5.810286461407363,0,0,-1,0,7,1
0,-6.195253047967186,1,0,0,1,1,13,-0.0155490919849767,-6.549269594239308,0,0,-4,0,0,0
0,-8.767058150573277,1,0,1,1,0,4,0.0211981687818963,-10.360366681077494,0,0,5,1,0,0
0,-8.86971230463336,0,0,0,1,0,33,-0.0418867269289843,-5.3795035453149085,0,1,-3,0,1,0
0,-8.791750763163648,1,0,0,1,1,1,0.0413150974464687,-12.192948144825804,0,0,-3,0,0,0
0,-9.841572887662327,1,0,0,1,1,1,-0.0749417477089798,-6.433258038231307,0,0,-3,0,5,0
0,-6.324357695868357,1,0,0,1,1,5,0.1511996338639843,-8.467254717589151,0,0,-10,0,0,0
0,-9.772580016175375,1,0,0,1,1,6,-0.0167158163505895,-8.984122655811104,0,0,-3,0,2,0
0,-8.041908238927158,1,0,0,1,0,10,0.0490069568542571,-6.433258038231307,0,0,-4,0,0,0
0,-8.954269692661423,1,0,0,1,1,9,-0.0209332110559833,-6.748368271299515,0,0,-3,0,5,0
0,-9.07943283561543,1,0,0,1,1,10,-0.0804710580383316,-7.437205100358338,0,0,-23,0,0,0
0,-8.86971230463336,1,0,0,1,1,36,0.0402498542504428,-6.433258038231307,0,0,-4,0,0,0
0,-6.794785443308052,1,0,0,1,0,30,0.0261041499855465,-8.232134975228226,0,0,-3,0,2,0
0,-9.07943283561543,1,0,0,1,1,17,0.0463435580290254,-8.87876214015328,0,0,-4,0,0,0
0,-8.767058150573277,1,0,0,1,1,15,0.2196812093421826,-5.3795035453149085,0,0,-3,0,2,0
0,-5.3795035453149085,1,0,1,1,1,29,0.038009363277074,-12.88609532538575,0,0,-1,0,4,0
0,-10.023894444456282,1,0,0,0,1,4,-0.0431808814158042,-8.3752358188689,0,0,-3,0,7,1
0,-8.767058150573277,1,0,0,1,0,14,-0.0126769389300065,-9.865670439241386,0,0,-40,0,0,0
0,-6.324357695868357,1,0,0,0,0,8,0.1364297207970267,-8.87876214015328,0,0,-21,0,0,1
0,-6.324357695868357,1,0,0,0,0,8,-0.0373460173811481,-8.227384372469627,0,0,-3,0,2,1
0,-6.855410065124486,1,0,0,0,0,35,-0.0094385268673733,-12.480630217277586,0,0,-5,0,0,1
