matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,uid_jaeger,matrix_subject1v3
0,-7.610534945960329,0,0,0,1,1,2,-11.78748303671764,0,1,-3,0,1,2.972975286431375,0
0,-8.041908238927158,0,0,0,0,0,12,-6.801595912310578,0,1,-3,0,1,2.07159836421881,0
0,-8.041908238927158,1,0,0,0,1,2,-6.255411939743378,0,0,-4,0,0,2.07159836421881,0
0,-8.688893377723941,1,0,0,1,1,22,-8.232134975228226,0,0,-4,0,0,3.0985896589936988,0
0,-8.041908238927158,1,0,0,0,1,9,-6.433258038231307,0,0,-5,0,0,2.07159836421881,1
0,-8.588809919166959,1,0,1,1,1,4,-9.571909320713225,0,0,-1,0,0,3.6041382256588457,0
0,-6.195253047967186,1,0,0,1,1,8,-10.806653783705913,0,0,-29,0,0,1.5146925448447344,0
0,-7.747360028662178,1,0,0,1,0,10,-11.382017928609475,0,0,-3,0,0,5.138735296723572,0
0,-7.146302413206516,1,0,0,1,0,2,-11.78748303671764,0,0,-24,0,0,2.19883358814192,0
0,-6.324357695868357,1,0,0,1,0,17,-13.579242505945695,0,0,-3,0,0,4.952299717083292,0
0,-8.041908238927158,1,0,1,1,0,6,-5.810286461407363,0,0,-1,0,6,2.07159836421881,0
0,-8.767058150573277,1,0,0,1,0,5,-12.192948144825804,0,0,-14,0,0,2.327277705584417,0
0,-9.07943283561543,1,0,0,1,1,1,-8.246523712680325,0,0,-5,0,0,2.4203681286504293,0
0,-8.767058150573277,0,0,0,1,1,13,-8.467254717589151,1,0,-3,0,1,2.327277705584417,0
0,-10.023894444456282,1,0,0,1,1,25,-6.801595912310578,0,0,-3,0,11,2.862200880929469,0
0,-7.437205100358338,1,0,1,0,1,15,-6.801595912310578,0,0,-1,0,1,3.7441421327889857,1
0,-8.791750763163648,1,0,0,1,1,32,-8.41445653202218,0,0,-3,0,10,1.455287232606842,0
0,-7.762131345982491,0,0,1,1,1,2,-5.3795035453149085,0,1,-1,0,1,3.871201010907891,0
0,-6.794785443308052,0,0,1,1,0,4,-8.659261580117569,0,0,-1,0,1,2.1210179685255763,0
0,-6.794785443308052,0,0,1,0,1,1,-8.659261580117569,0,0,-1,0,1,2.1210179685255763,1
