matrix_subject,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that,uid,genre
4,-7.3954845402249445,0,-4.6980515589636065,4,5,0,2,-3,1,1.7707060600302227,118
4,-7.3954845402249445,0,-3.4125694778058655,2,5,0,1,-13,1,3.8501476017100584,118
4,-10.911992768398093,0,-9.177391713009987,4,1,0,3,-3,1,0.40546510810816444,132
4,-9.813380479729984,0,-7.733938938050149,4,7,0,1,-3,1,2.1972245773362196,60
3,-8.347043410936557,0,-11.317457876506259,3,10,0,1,-13,0,10,112
4,-8.078779424341878,0,-4.6980515589636065,4,30,0,3,-3,1,3.2386784521643803,112
4,-9.708019964072157,0,-3.4125694778058655,4,14,0,5,-3,1,3.8501476017100584,112
4,-9.708019964072157,0,-7.510795386735939,4,6,0,3,-31,0,10,112
4,-7.510795386735939,0,-6.415893677464364,3,43,0,1,-5,0,0.9490805546971459,112
4,-8.576617852581057,0,-7.090624131238079,4,53,0,2,-3,1,10,112
4,-12.010605057066204,0,-4.6980515589636065,4,2,0,3,-3,1,10,112
4,-12.010605057066204,0,-7.899731192892893,3,2,0,1,-13,0,10,112
4,-9.238016334826423,0,-6.999969762969948,4,18,0,1,-3,1,2.0794415416798357,112
4,-7.805912437675238,0,-6.404802990770206,4,17,0,2,-1,0,2.908720896564361,114
3,-6.149818833600338,0,-6.702337359664999,2,7,0,1,7,0,1.766441661243765,10
3,-6.149818833600338,0,-7.190323491461167,3,7,0,1,-1,0,10,10
4,-6.149818833600338,0,-4.6980515589636065,3,10,0,1,-4,1,1.766441661243765,53
4,-9.612709784267834,0,-7.5679538005758875,3,3,0,1,-3,1,0.6061358035703156,53
3,-7.5679538005758875,0,-8.752508519044722,4,6,0,0,-10,0,2.496741107435003,53
3,-3.4125694778058655,0,-8.078779424341878,4,31,0,0,-5,1,3.8501476017100584,135
3,-8.040313143514082,0,-3.4125694778058655,1,5,0,1,-1,0,3.8501476017100584,51
4,-6.649312891356779,0,-6.742746898002876,1,15,0,1,-18,1,1.0045833390198333,51
3,-8.040313143514082,0,-4.6980515589636065,4,5,0,2,-45,0,0.6190392084062235,51
4,-3.4125694778058655,0,-6.062570067885558,4,3,0,4,-3,1,3.8501476017100584,51
4,-9.371547727450945,0,-7.899731192892893,4,18,0,2,-3,1,10,51
3,-9.177391713009987,0,-3.4125694778058655,4,17,0,1,-26,1,3.8501476017100584,39
4,-7.068962634456899,0,-3.4125694778058655,4,27,0,3,-4,1,3.8501476017100584,39
4,-10.218845587838148,0,-8.139404046158313,4,25,0,9,-3,1,0.6931471805599453,39
4,-9.445655699604668,0,-3.4125694778058655,3,8,0,1,-3,1,2.6741486494265287,145
4,-9.238016334826423,0,-8.514097495599724,4,6,0,2,-3,1,1.6739764335716716,131
4,-8.078779424341878,0,-8.484244532450042,4,2,0,1,-1,0,3.2386784521643803,131
4,-10.401167144632103,0,-6.415893677464364,3,23,0,1,-1,0,10,131
1,-7.328473829941984,0,-3.4125694778058655,4,9,0,1,-2,0,1.54663701119507,143
1,-7.328473829941984,0,-4.6980515589636065,3,9,0,1,-8,0,1.9416996165189697,143
2,-6.649312891356779,0,-3.4125694778058655,1,1,0,1,-1,0,3.8501476017100584,143
1,-6.649312891356779,0,-3.4125694778058655,3,1,0,1,-1,0,1.54663701119507,143
1,-10.401167144632103,0,-3.4125694778058655,3,13,0,1,-1,0,0.6190392084062235,143
4,-6.649312891356779,0,-3.4125694778058655,4,12,0,2,-1,0,1.0045833390198333,143
4,-3.4125694778058655,0,-6.649312891356779,4,3,0,0,-3,0,3.8501476017100584,143
2,-6.199464064089503,0,-6.08101591367631,3,1,0,1,-1,0,0.9207918647549467,153
1,-6.149818833600338,0,-5.181892985424519,3,2,0,1,-1,0,10,77
4,-6.199464064089503,0,-6.415893677464364,3,3,0,1,-5,1,10,77
1,-8.752508519044722,0,-5.860002288619924,3,1,0,1,-1,0,0.5753641449035618,77
1,-6.649312891356779,0,-5.879378567583063,3,1,0,1,-1,0,10,77
1,-6.649312891356779,0,-6.415893677464364,3,2,0,1,-1,0,10,77
4,-6.649312891356779,0,-6.415893677464364,3,3,0,1,-3,1,2.1972245773362196,54
4,-6.199464064089503,0,-7.5446969384116205,4,15,0,0,-1,0,0.9207918647549467,54
4,-10.06469490801089,0,-8.078779424341878,4,8,0,0,-9,1,1.252762968495368,54
4,-8.078779424341878,0,-3.4125694778058655,4,17,0,4,-4,0,3.2386784521643803,54
