	var	amp	igauche2_2	idoc	iphrase	biggestStep	avgStep
" 0396.train
_1"	0.002774137092484835	0.0	-0.009999103844165802	0.05002986639738083	0.05313604791604337	0.0	-0.008239483911093803
" 4173.train
_1"	0.005508212838139487	0.05697256699204445	0.04886062815785408	0.08317001909017563	-0.07117485650662894	0.05449454486370087	0.004943247994079303
" en_partut-ud-116
_1"	-0.004532483513195839	-0.08392879366874695	-0.16797579266130924	0.028607143089175224	0.006817991650857752	-0.21203085407614708	-0.04394630617342697
" en_partut-ud-218
_1"	-0.003229003670681685	0.0	-0.036359552294015884	-0.04785427078604698	-0.04379614854273811	0.0	0.0008441792057466702
" en_partut-ud-227
_1"	-0.00029714551603031436	0.007601708173751831	0.0222652405500412	0.009508877992630005	0.008901568267240423	-0.014883659780025482	0.0029897086487542246
" en_partut-ud-323
_1"	0.0018660351558641222	-0.0007487162947654724	-0.009075231850147247	0.047411173582077026	0.03881564315870628	0.0	-0.013006238133779602
" en_partut-ud-351
_1"	0.0009390856046542079	-0.003440135158598423	-0.15702872537076473	-0.052110226824879646	-0.04777093275891253	0.0007747262716293335	0.009441136309840503
" en_partut-ud-447
_1"	0.0036807902654751867	0.0030615925788879395	0.14581894595175982	0.018872116662278837	0.034915385097918805	0.003436395898461342	0.02514683097917464
" en_partut-ud-459
_1"	0.001234538954416338	0.007389647886157036	0.2071262914687395	0.14177123267920322	0.16657181051766484	0.0026234835386276245	0.007888139818577389
" en_partut-ud-952
_1"	0.0010419008138091157	0.0	-0.13164754398167133	-0.0705877486616373	-0.06159400310961233	0.0	0.016315418483299204
" en_partut-ud-1302
_1"	-0.003217188609581201	0.0017398204654455185	0.04891999810934067	-0.12422509674699611	-0.17418180060109512	0.0004909485578536987	-0.002056906750482146
" en_partut-ud-1848
_2"	0.001709998316826812	-0.0012636873871088028	-0.07481274753808975	0.020333290100097656	-0.004773200757688667	-0.03962843678891659	0.011369192995311278
" en_partut-ud-2070
_1"	0.0005411697710258068	-0.0010489821434020996	-0.05554763972759247	0.13636471331119537	0.1322145290768299	0.0008356869220733643	-0.011273598757179037
" GUM_academic_exposure-3
_1"	-0.006968723353018111	-0.029069792479276657	0.07852394878864288	-0.090971689671278	-0.08173446426024805	-0.0009811222553253174	-0.023410204476230684
" GUM_academic_exposure-12
_1"	-0.002704534401428753	-0.0678788423538208	0.01696978509426117	-0.0161920003592968	-0.002366874038296607	-0.0772228091955185	-0.008306793941586621
" GUM_academic_exposure-20
_1"	-0.0011239710688528831	-0.01522030308842659	0.1981983296573162	0.006224337965250015	0.010346408798789786	0.0009795352816581726	-0.019103419620032425
" GUM_academic_librarians-8
_1"	-0.0015649667469191525	-0.0003336668014526367	-0.09193649888038635	-0.12273386120796204	-0.11500548521916454	0.035922545939683914	-0.0039042187023109465
" GUM_academic_librarians-19
_1"	-0.004974819102992301	0.0	0.004594653844833374	-0.03138494864106178	-0.03440302103209547	0.0	0.0010371214399735318
