	var	amp	igauche2_2	idoc	iphrase	biggestStep	avgStep
" 0396.train
_1"	0.018745226558951847	-0.0015160702168941498		-0.0997374951839447	0.08256212218354142	0.19933217763900757	-0.0009285388425702146
" 4173.train
_1"	-0.005038411918928065	0.0012403279542922974		0.03458152711391449	-0.033977119849087356	-0.07023605704307556	0.0370132505159938
" en_partut-ud-116
_1"	0.0018011907591976573	-0.00035863928496837616		-0.01505596935749054	-0.02002086475646747	-0.09228315949440002	0.01840302553914841
" en_partut-ud-218
_1"	0.0023915687513783035	0.0009150449186563492		-0.0013782158493995667	-0.005000055975732276	0.001495465636253357	0.012583724510360272
" en_partut-ud-227
_1"	0.005656027944029043	0.0027078967541456223		-0.03943243622779846	0.031251914328260466	0.0788159966468811	0.00921341743049843
" en_partut-ud-323
_1"	0.004719209557832643	0.0019774027168750763		-0.22756841778755194	0.18655406672471475	-0.3021091539412737	0.0006623611777301919
" en_partut-ud-351
_1"	0.0005768018626225169	0.00018474645912647247		-0.018130213022232056	0.016416321292963443	0.0001585204154253006	0.003574142695641991
" en_partut-ud-447
_1"	0.004728223602435189	-0.0009797560051083565		0.0011626780033111572	0.005131461167574125	0.0007520569488406181	0.013088039197849427
" en_partut-ud-459
_1"	-0.0002279311267523107	0.00038426369428634644		-0.0074811577796936035	-0.007332095203714251	0.0011503025889396667	0.0019000619679421793
" en_partut-ud-952
_1"	0.0018709097632416127	0.0007904879748821259		0.02554437518119812	-0.040711178518561764	-0.006790980696678162	0.03194964136707451
" en_partut-ud-1302
_1"	0.0006917258307094776	0.0009774435311555862		0.3910022005438805	-0.1413530570590158	0.001809755340218544	0.015906242754508332
" en_partut-ud-1848
_2"	0.004525055311048493	0.0007139332592487335		0.001352846622467041	-0.0071960707604320495	-0.0025222301483154297	-0.0023653096511900007
" en_partut-ud-2070
_1"	0.004984660812411265	0.0013997722417116165		-0.0035257488489151	0.0019160953611589981	0.015561692416667938	9.962378833919261e-05
" GUM_academic_exposure-3
_1"	0.002289185826292235	-0.00030507892370224		0.008923739194869995	0.01383250697681393	0.0341816321015358	0.010058031184598804
" GUM_academic_exposure-12
_1"	-0.0005775002786860134	8.920952677726746e-05		0.04953444004058838	-0.050453114522887144	-0.0016298480331897736	0.0024911271095150733
" GUM_academic_exposure-20
_1"	0.00608133668320604	0.00013248436152935028		0.002589285373687744	0.013269154341645328	0.014826221391558647	0.01872704775841344
" GUM_academic_librarians-8
_1"	-0.0031795337337419197	0.004349716007709503		-0.0010441094636917114	0.00310135809316614	-0.02265838533639908	-0.006801824941391893
" GUM_academic_librarians-19
_1"	0.005189532168300322	0.018740214407444		-0.006601735949516296	0.0021328086476950503	0.014598339796066284	0.0011256465002110194
" GUM_academic_librarians-21
_1"	-0.0008781272002428425	0.00026766397058963776		0.009731322526931763	-0.004046875357843316	0.019569972530007362	-0.002758377260554924
" GUM_bio_byron-9
_1"	0.003088714020058461	0.0010205656290054321		-0.05792880058288574	0.03262339920974244	-0.01088838279247284	0.00205965840694855
" GUM_conversation_grounded-10
_1"	0.0016660985877981066	-0.0011900067329406738		0.020949825644493103	-0.02955988540568133	-0.06241461634635925	0.008432533456520605
" GUM_conversation_grounded-16
_1"	0.007057834531222454	0.0005326829850673676		0.008036434650421143	0.01680078812959518	0.01170092448592186	0.012123074610200194
" GUM_conversation_grounded-18
_1"	0.0014939955733906315	-0.0004643276333808899		0.027654588222503662	-0.031123352164609597	0.05483614653348923	0.00907434367989543
" GUM_conversation_grounded-25
_1"	0.003083831961793196	-0.005610816180706024		-0.004575014114379883	-0.046451872451738874	-0.016000084578990936	-0.07288810337583224
" GUM_conversation_grounded-76
_1"	0.0022808107160932276	-0.0007126126438379288		0.003990471363067627	0.011587088447371996	2.0584091544151306e-05	0.011759905064335247
" GUM_conversation_grounded-107
_1"	0.01286333938163943	-0.0006627850234508514		0.019017904996871948	-0.016489900825988668	0.038479048758745193	-0.09418827034533023
" GUM_conversation_grounded-134
_1"	0.007021343380634121	0.0011545363813638687		-0.15108617395162582	0.13803078031078686	-0.24546916782855988	-0.03282167549644198
" GUM_conversation_risk-109
_1"	0.0017807455396453564	0.002056097611784935		-0.02752751111984253	-0.0052747780922800525	-0.052968705072999	0.0016680462690799105
" GUM_fiction_beast-3
_3"	0.0005498912169581288	0.0005576126277446747		-0.00014668703079223633	8.988174823965078e-05	0.0007909536361694336	0.002500997662410992
