	var	amp	igauche2_2	idoc	iphrase	biggestStep	avgStep
" GUM_academic_exposure-3
_1"	-2.904044397518014	-0.038658968862481435	0.07852394878864288	-0.090971689671278	-0.08173446426024805	0.006043360207640847	-564.740317608748
" GUM_academic_exposure-12
_1"	-3.7940620038137496	-0.11624568893436504	0.01696978509426117	-0.0161920003592968	-0.002366874038296607	-0.21618421898497875	10.928065456026701
" GUM_academic_exposure-20
_1"	-0.3322468858107612	-0.019237989740451544	0.1981983296573162	0.006224337965250015	0.010346408798789786	0.0014102171052008394	-131.31512274839906
" GUM_academic_librarians-8
_1"	-0.14188187147958864	-0.0003432553292654905	-0.09193649888038635	-0.12273386120796204	-0.11500548521916454	0.04180777825432136	49.24756223236221
" GUM_academic_librarians-19
_1"	-1.592636537061793	0.0	0.004594653844833374	-0.03138494864106178	-0.03440302103209547	-0.010162888351060495	-58.20621844034011
" GUM_academic_librarians-21
_1"	0.5022248478070139	0.0	-0.08323252201080322	-0.048542898148298264	-0.04541303443668576	0.0	-11.20144411581063
" GUM_bio_byron-9
_1"	3.385512152890133	0.007313975029310971	0.19674327969551086	0.0768144279718399	0.017081239332317116	0.0025735281199139592	1.1713135482144708
" GUM_conversation_grounded-10
_1"	-2.4841967100492433	-0.08987916844243204	-0.07044074684381485	0.023908503353595734	0.004553319999214378	0.0	-0.27667084647082874
" GUM_conversation_grounded-16
_1"	40.45224859866758	0.6384481145868066	-0.04933324456214905	0.045885004103183746	-0.043152115121483814	-1.518367890720068	-13.595954491381477
" GUM_conversation_grounded-18
_1"	0.9713002702126801	0.0	0.06879757344722748	-0.04789618402719498	0.008438117174478649	0.0	-0.1080541232774408
" GUM_conversation_grounded-25
_1"	-88.23047467679288	-1.4914259399165508	-0.008883204311132431	0.08182602003216743	0.05602866560220718	-3.4944822182768944	-16.84798295271696
" GUM_conversation_grounded-76
_1"	0.34342699539998733	-0.014084727940666175	-4.023313522338867e-07	-1.2665987014770508e-07	-0.00038835733508069126	0.0	21.830682674263414
" GUM_conversation_grounded-107
_1"	84.03687978039022	1.416927571367669	0.11827854439616203	0.03535382077097893	0.05084933411507381	1.3404414060827423	-2.072166570016357
" GUM_conversation_grounded-134
_1"	-2.6473352998466595	-0.23157912968674266	-0.000962892547249794	-0.10856794007122517	-0.0837371475107613	0.5651651796871189	-12.910092766351028
" GUM_conversation_risk-109
_1"	1.1811437130269944	-0.026954755033736344	0.267334783449769	-0.09754304446419437	0.06384548474103213	-0.0032250648404383853	-7.178250972713215
" GUM_fiction_beast-3
_3"	0.4554545484143162	0.004234721940570951	-9.462237358093262e-07	-7.674098014831543e-07	0.0001247689217226955	0.05232755792755328	-13.895762826072541
" GUM_fiction_beast-5
_1"	-9.367170541179739	-0.6904191900045757	-0.3212715983390808	-0.18873700499534607	-0.1776289994035054	-0.9031387948480507	1.2758007362000257
" GUM_fiction_beast-57
_1"	1.3035559561685552	0.0	0.24492691457271576	0.09547115117311478	0.07309042171835295	0.0	20.514232740959983
" GUM_fiction_lunre-9
_1"	0.6037970516307674	0.0027948603365295366	-0.06439247727394104	0.17534266039729118	0.1325207464803681	0.0	-21.025864809202773
" GUM_fiction_lunre-9
_2"	0.24431607317568904	0.009291356940576367	-0.254527410492301	-0.13201891213516037	-0.19895592144210683	0.0	19.27680308634379
" GUM_fiction_lunre-13
_1"	3.896688066621813	-0.02643709218519552	0.1419203020632267	-0.10582258552312851	0.058392372892614314	0.037803026867453404	-25.102012470071713
" GUM_fiction_lunre-15
_1"	-0.3686105913550506	0.0031095927306326043	0.045269329100847244	-0.04869399592280388	-0.05696023242282017	0.011762090990788066	3.8785182986525797
" GUM_fiction_lunre-20
_1"	-6.184324264355226	-0.02311707205024116	0.0904401233419776	-0.03005359787493944	0.045446722818588886	-0.05418319711129538	-74.76130322049829
" GUM_fiction_lunre-24
_1"	1.2036858870539184	0.0004956720942879134	-0.015828069299459457	0.06138243526220322	0.05936030554882618	0.1007008943745562	63.85256703090346
" GUM_fiction_lunre-24
_2"	1.0783954329676995	0.0022347465663017374	-0.0832384042441845	0.07142239295085628	-0.15064706935782016	0.12624793046007188	41.93283542810536
" GUM_fiction_lunre-26
_1"	32.16120945756458	0.5559529744293825	0.008720889687538147	0.10073882341384888	-0.010279056371042594	0.8375488635269908	15.849387492919533
" GUM_interview_cyclone-41
_1"	1.2415269000142555	0.030392063498189126	-0.13913962244987488	0.07239019870758057	0.09044502753600042	0.04813110647043195	6.2791133432524475
" GUM_news_homeopathic-13
_1"	-0.1424530857054176	-7.897721688232551e-05	0.191046804189682	-0.01553847782174389	0.048495653913320114	0.06385516731546037	172.42840627048014
" GUM_news_homeopathic-13
_2"	0.19991687453329554	0.0	0.16004640981554985	-0.011091161519289017	0.003275445139325872	-0.08545306364416527	25.70947466238306
" GUM_news_homeopathic-15
_1"	0.6423505825297724	0.0010263912994394886	0.15649877209216356	0.11887369770556688	0.11467697537874663	-0.0020601723928332927	-0.2567010585317746
" GUM_news_homeopathic-20
_1"	2.5240736995922504	-0.004463136897184583	0.2741426359862089	0.10713758878409863	0.10968724924943113	0.0	-52.75986213830657
" GUM_news_iodine-6
_1"	-0.30011055611442394	0.0	0.02516385167837143	0.09083299338817596	0.06764082285864731	0.0	-16.06350654680861
" GUM_news_iodine-11
_1"	0.9193552815958164	0.00010732747602970605	-0.11544742994010448	-0.07699447683990002	-0.06913087472891788	-0.03409687903705749	-11.84364969133302
" GUM_news_iodine-14
_1"	0.06734918356655939	0.0	-0.08411163091659546	-0.00698331139842312	0.08789630836423706	-0.008851772830581028	-22.93650891428294
" GUM_news_iodine-17
_3"	-0.4708326211537983	0.0	0.28998903557658195	-0.03459018699964245	0.01944041500488919	-0.16616867204035346	-1.9697589510638807
" GUM_news_iodine-18
_1"	0.08399086423299629	-0.0009637925035697048	0.05779317021369934	0.004341956228017807	-0.003030489045860507	0.015527143884720207	-12.724869925522938
" GUM_news_iodine-21
_1"	0.4408593983566309	0.0012282296582095675	0.07537722773849964	0.015289593487977982	0.013016870358426691	0.05029349838879371	-7.625954151630296
" GUM_news_iodine-28
_1"	0.09116270211893251	0.0	0.09761742874979973	0.05857950448989868	0.06574885227285276	0.0	-5.627272564046351
" GUM_news_iodine-39
_2"	-0.3283865716086556	-0.005096928328903738	0.08743102103471756	-0.10760445751389225	-0.07666210383167565	0.0	-8.08931470367125
" GUM_news_iodine-41
_2"	0.2881704913873726	0.0	0.4960089474916458	-0.0992653607563142	0.0368701911858732	0.0	-4.324716804524542
" GUM_speech_impeachment-1
_1"	1.15127189066982	0.0	0.06650540232658386	0.08892922103404999	0.07362452854772994	0.207120595793443	20.162350284680485
" GUM_speech_impeachment-7
_1"	3.7721548851033013	0.1295242669936949	-0.030359845608472824	-0.037960175424814224	-0.057667717177081246	0.21421521131928012	-4.830099263398978
" GUM_speech_impeachment-11
_1"	-24.552876417553513	-0.5895451770664313	0.007519811391830444	-0.14599591493606567	-0.12232539121043212	0.0	-65.4003162708367
" GUM_speech_impeachment-13
_1"	-1.1629821976485495	-0.025687020758442536	-0.09165876358747482	0.054149776697158813	0.042163054059658756	-0.03045169859042507	-36.1484861179226
" GUM_speech_impeachment-17
_2"	2.569335482443563	0.0	-0.0174236036837101	-0.01672840490937233	0.006086814173807686	0.0	108.97796705834912
" GUM_speech_impeachment-32
_1"	0.7367849311503818	0.0	-0.04979478567838669	0.015917927026748657	0.013235975917251341	0.0	85.55331127201123
" GUM_speech_impeachment-37
_1"	-1.98700694739032	-0.06430628325368892	-0.2525790040381253	-0.2198959938250482	-0.1226128466149563	-0.058575110873453795	1.0915373316411774
" GUM_speech_impeachment-39
_1"	-1.9019641803185507	0.008175538290921214	0.266098078340292	-0.19312361206998785	-0.1691080171925326	-0.07693820305822552	-6.507946879981915
" GUM_speech_impeachment-47
_1"	0.33611749875856134	0.21963493766774556	-0.10229039937257767	-0.011327318847179413	0.009132148290138198	0.28527562251904826	0.42648414804705936
" GUM_speech_inauguration-5
_1"	0.6809063167931733	0.0	-0.009818151593208313	-0.003703005611896515	0.014776107089118251	0.0	3.0192694940130167
" GUM_speech_inauguration-6
_1"	0.255678884196314	-0.00013705277614217692	0.07090761512517929	0.08538593351840973	0.08099591477234747	0.027525947073841595	-1.499630814199378
" GUM_speech_inauguration-18
_1"	-10.598752055270054	0.007218752729798439	0.1405799314379692	0.08837342634797096	0.05292946235884144	-0.5876850920546857	-6.209143053422963
" GUM_speech_inauguration-25
_1"	-0.07760212111857001	0.0007023570273425594	0.14288153871893883	0.06851107254624367	0.06792341868135193	-0.052361222711276634	-1386.741321742482
" GUM_speech_inauguration-35
_1"	1.6749868390258467	0.0039017462928052637	0.10850918292999268	0.0653719692663316	-0.010778029868890926	0.7110086998786238	3.996719912223469
" GUM_speech_inauguration-36
_1"	7.210074912737692	0.3478401269503544	0.13836760818958282	-0.05044613033533096	-0.0880047284687559	0.4249601281533262	-13.919805183344906
" GUM_textbook_governments-11
_1"	0.402820160274441	0.0	0.029683127999305725	-0.025840887351429864	0.004621817325315747	0.0	-3361.4602341229147
" GUM_textbook_governments-12
_1"	-0.04511935216377161	-0.023798280380845638	0.259760495275259	0.008923762960827752	-0.04613860589526003	0.0	-188.55866964639222
